label,neighbor_disagreement,neighbor_total,disagreement_rate
PartnershipPatient → Clinical care,738,4020,0.1836
PartnershipPatient → activeParticipation/involvement,487,2390,0.2038
SDOH → HealthCareAccessAndQuality,291,1650,0.1764
SDOH → EconomicStability,251,1120,0.2241
SocioEmotionalBehaviour,201,670,0.3
PartnershipPatient → signoff,172,540,0.3185
PartnershipPatient → Appreciation/Gratitude,167,330,0.5061
PartnershipPatient → expressOpinions,142,690,0.2058
CareCoordinationPatient,135,670,0.2015
SDOH → NeighborhoodAndBuiltEnvironment,119,350,0.34
SDOH → SocialAndCommunityContext,106,280,0.3786
PartnershipPatient → statePreferences,85,250,0.34
PartnershipProvider → signoff,70,110,0.6364
PartnershipPatient → salutation,68,470,0.1447
SharedDecisionPatient → SeekingApproval,67,330,0.203
PartnershipProvider → maintainCommunication,66,130,0.5077
PartnershipProvider → Clinical Care,61,340,0.1794
CareCoordinationProvider,55,240,0.2292
PartnershipProvider → salutation,54,70,0.7714
SharedDecisionPatient → ExploreOptions,34,140,0.2429
PartnershipProvider → checkingUnderstanding/clarification,26,70,0.3714
PartnershipPatient → build trust,24,120,0.2
PartnershipPatient → connection,23,100,0.23
PartnershipProvider → inviteCollabration,23,80,0.2875
PartnershipProvider → requestsForOpinion,19,40,0.475
PartnershipPatient → alignment,16,50,0.32
SharedDecisionProvider → ShareOptions,15,40,0.375
PartnershipProvider → connection,14,40,0.35
SharedDecisionPatient → ApprovalofDecision/Reinforcement,11,20,0.55
PartnershipProvider → Appreciation/Gratitude,9,10,0.9
PartnershipProvider → alignment,8,30,0.2667
PartnershipProvider → build trust,4,10,0.4
SharedDecisionProvider → Approval/Reinforcement,4,10,0.4
SDOH → EducationAccessAndQuality,1,40,0.025
SharedDecisionProvider → MakeDecision,0,20,0.0
