label,neighbor_disagreement,neighbor_total,disagreement_rate
PartnershipPatient → activeParticipation/involvement,306,2390,0.128
PartnershipPatient → Clinical care,302,4020,0.0751
PartnershipPatient → Appreciation/Gratitude,150,330,0.4545
PartnershipPatient → signoff,104,540,0.1926
SDOH → HealthCareAccessAndQuality,97,1650,0.0588
SharedDecisionPatient → SeekingApproval,94,330,0.2848
CareCoordinationPatient,88,670,0.1313
PartnershipPatient → salutation,84,470,0.1787
PartnershipProvider → Clinical Care,83,340,0.2441
PartnershipProvider → signoff,79,110,0.7182
PartnershipPatient → expressOpinions,68,690,0.0986
CareCoordinationProvider,65,240,0.2708
PartnershipPatient → statePreferences,59,250,0.236
PartnershipProvider → salutation,53,70,0.7571
SocioEmotionalBehaviour,53,670,0.0791
PartnershipProvider → maintainCommunication,42,130,0.3231
SDOH → EconomicStability,38,1120,0.0339
SharedDecisionPatient → ExploreOptions,27,140,0.1929
PartnershipProvider → inviteCollabration,15,80,0.1875
PartnershipPatient → connection,11,100,0.11
PartnershipProvider → connection,10,40,0.25
PartnershipProvider → Appreciation/Gratitude,9,10,0.9
SDOH → NeighborhoodAndBuiltEnvironment,8,350,0.0229
SDOH → SocialAndCommunityContext,4,280,0.0143
SharedDecisionProvider → Approval/Reinforcement,3,10,0.3
PartnershipPatient → alignment,2,50,0.04
PartnershipProvider → checkingUnderstanding/clarification,2,70,0.0286
SharedDecisionPatient → ApprovalofDecision/Reinforcement,2,20,0.1
SharedDecisionProvider → ShareOptions,2,40,0.05
PartnershipPatient → build trust,1,120,0.0083
PartnershipProvider → alignment,1,30,0.0333
PartnershipProvider → requestsForOpinion,1,40,0.025
PartnershipProvider → build trust,0,10,0.0
SDOH → EducationAccessAndQuality,0,40,0.0
SharedDecisionProvider → MakeDecision,0,20,0.0
