label_a,label_b,conflict_count,mean_similarity,median_similarity,max_similarity,min_similarity
PartnershipPatient → Appreciation/Gratitude,PartnershipPatient → signoff,184,0.9604,1.0,1.0,0.607
PartnershipPatient → signoff,PartnershipProvider → signoff,140,0.9731,1.0,1.0,0.6079
PartnershipPatient → salutation,PartnershipProvider → salutation,116,1.0,1.0,1.0,1.0
PartnershipPatient → activeParticipation/involvement,PartnershipProvider → maintainCommunication,50,0.8213,0.779,1.0,0.6138
PartnershipPatient → Appreciation/Gratitude,PartnershipProvider → signoff,41,0.9904,1.0,1.0,0.6079
PartnershipPatient → Clinical care,PartnershipPatient → activeParticipation/involvement,38,0.7164,0.6943,1.0,0.6007
PartnershipPatient → activeParticipation/involvement,PartnershipPatient → statePreferences,30,0.7309,0.6773,0.9798,0.6195
PartnershipPatient → Clinical care,SocioEmotionalBehaviour,25,0.7355,0.7004,1.0,0.6264
PartnershipPatient → Clinical care,SDOH → HealthCareAccessAndQuality,25,0.6832,0.6755,1.0,0.6001
PartnershipPatient → Clinical care,SDOH → EconomicStability,21,0.7678,0.7518,1.0,0.617
PartnershipPatient → Clinical care,SDOH → SocialAndCommunityContext,20,0.8094,0.7508,1.0,0.6166
PartnershipPatient → Clinical care,PartnershipProvider → Clinical Care,20,0.7085,0.6831,0.8281,0.6272
PartnershipPatient → activeParticipation/involvement,PartnershipPatient → expressOpinions,19,0.7758,0.6986,1.0,0.6455
CareCoordinationPatient,PartnershipPatient → activeParticipation/involvement,18,0.6889,0.6603,0.9041,0.602
PartnershipPatient → Clinical care,SharedDecisionPatient → SeekingApproval,14,0.7055,0.6865,0.8294,0.6275
SDOH → EconomicStability,SDOH → HealthCareAccessAndQuality,12,0.697,0.7068,0.7849,0.6076
PartnershipPatient → activeParticipation/involvement,SDOH → SocialAndCommunityContext,12,0.792,0.7358,1.0,0.6276
PartnershipPatient → signoff,PartnershipProvider → Appreciation/Gratitude,12,1.0,1.0,1.0,1.0
SDOH → HealthCareAccessAndQuality,SocioEmotionalBehaviour,10,0.6543,0.6414,0.7193,0.6178
PartnershipPatient → Clinical care,PartnershipPatient → salutation,10,1.0,1.0,1.0,1.0
PartnershipPatient → activeParticipation/involvement,SharedDecisionPatient → SeekingApproval,8,0.6627,0.6522,0.7432,0.6032
PartnershipPatient → Clinical care,PartnershipPatient → expressOpinions,8,0.7137,0.7115,0.8226,0.6092
PartnershipPatient → activeParticipation/involvement,SDOH → EconomicStability,8,0.7138,0.7145,0.7957,0.6304
SDOH → EconomicStability,SocioEmotionalBehaviour,7,0.6896,0.6257,1.0,0.6129
PartnershipPatient → expressOpinions,PartnershipPatient → statePreferences,7,0.7156,0.6823,1.0,0.6102
SDOH → SocialAndCommunityContext,SocioEmotionalBehaviour,6,0.8149,0.7508,1.0,0.6939
PartnershipPatient → Clinical care,SDOH → NeighborhoodAndBuiltEnvironment,6,0.7014,0.6726,0.781,0.6507
SDOH → HealthCareAccessAndQuality,SDOH → NeighborhoodAndBuiltEnvironment,6,0.6344,0.6287,0.6659,0.6084
PartnershipPatient → Appreciation/Gratitude,PartnershipProvider → Appreciation/Gratitude,5,1.0,1.0,1.0,1.0
PartnershipPatient → Clinical care,PartnershipPatient → statePreferences,5,0.7112,0.6432,1.0,0.6347
PartnershipPatient → activeParticipation/involvement,SocioEmotionalBehaviour,5,0.7395,0.7173,1.0,0.6316
PartnershipProvider → checkingUnderstanding/clarification,SDOH → EconomicStability,4,0.6459,0.6459,0.6886,0.6032
SDOH → NeighborhoodAndBuiltEnvironment,SDOH → SocialAndCommunityContext,4,0.7206,0.7206,0.7972,0.6439
CareCoordinationProvider,PartnershipPatient → Clinical care,4,0.6356,0.6356,0.6649,0.6062
CareCoordinationPatient,PartnershipPatient → expressOpinions,4,0.6627,0.6627,0.689,0.6363
CareCoordinationPatient,PartnershipPatient → Clinical care,4,0.6172,0.6172,0.6283,0.6061
SDOH → EconomicStability,SDOH → SocialAndCommunityContext,4,0.6446,0.6446,0.6446,0.6446
PartnershipPatient → activeParticipation/involvement,PartnershipProvider → inviteCollabration,4,0.7877,0.7877,0.935,0.6405
PartnershipPatient → Clinical care,SharedDecisionPatient → ExploreOptions,4,0.6754,0.6754,0.6963,0.6545
PartnershipPatient → expressOpinions,SDOH → HealthCareAccessAndQuality,4,0.6647,0.6647,0.6689,0.6605
PartnershipPatient → activeParticipation/involvement,SharedDecisionPatient → ExploreOptions,4,0.6098,0.6098,0.612,0.6076
PartnershipPatient → activeParticipation/involvement,SDOH → HealthCareAccessAndQuality,4,0.719,0.719,0.7775,0.6606
CareCoordinationPatient,SDOH → HealthCareAccessAndQuality,4,0.689,0.689,0.6983,0.6797
CareCoordinationPatient,CareCoordinationProvider,4,0.7956,0.7956,0.7956,0.7956
PartnershipProvider → Appreciation/Gratitude,PartnershipProvider → signoff,4,1.0,1.0,1.0,1.0
PartnershipPatient → connection,PartnershipProvider → connection,3,0.7479,0.6219,1.0,0.6219
PartnershipPatient → alignment,PartnershipProvider → alignment,3,1.0,1.0,1.0,1.0
PartnershipPatient → expressOpinions,SocioEmotionalBehaviour,2,0.7234,0.7234,0.7234,0.7234
PartnershipProvider → requestsForOpinion,SocioEmotionalBehaviour,2,0.6201,0.6201,0.6201,0.6201
SDOH → EconomicStability,SDOH → NeighborhoodAndBuiltEnvironment,2,0.6535,0.6535,0.6535,0.6535
PartnershipPatient → alignment,PartnershipProvider → requestsForOpinion,2,0.6158,0.6158,0.6158,0.6158
PartnershipPatient → expressOpinions,SDOH → NeighborhoodAndBuiltEnvironment,2,0.6561,0.6561,0.6561,0.6561
PartnershipPatient → expressOpinions,SharedDecisionProvider → ShareOptions,2,0.6788,0.6788,0.6788,0.6788
SDOH → NeighborhoodAndBuiltEnvironment,SocioEmotionalBehaviour,2,0.7712,0.7712,0.7712,0.7712
CareCoordinationPatient,PartnershipPatient → statePreferences,2,0.6363,0.6363,0.6363,0.6363
PartnershipPatient → connection,SocioEmotionalBehaviour,2,0.6383,0.6383,0.6383,0.6383
PartnershipPatient → activeParticipation/involvement,SDOH → NeighborhoodAndBuiltEnvironment,2,0.7008,0.7008,0.7008,0.7008
PartnershipPatient → Appreciation/Gratitude,PartnershipPatient → statePreferences,2,0.6157,0.6157,0.6157,0.6157
PartnershipProvider → connection,SDOH → EconomicStability,2,0.6846,0.6846,0.6846,0.6846
PartnershipProvider → maintainCommunication,SDOH → SocialAndCommunityContext,2,0.6086,0.6086,0.6086,0.6086
PartnershipPatient → activeParticipation/involvement,PartnershipProvider → connection,2,0.6219,0.6219,0.6219,0.6219
SDOH → HealthCareAccessAndQuality,SharedDecisionPatient → SeekingApproval,2,0.6984,0.6984,0.6984,0.6984
PartnershipPatient → Appreciation/Gratitude,PartnershipPatient → build trust,2,0.6008,0.6008,0.6008,0.6008
