pair,src_label,src_text,nbr_label,nbr_text,similarity
PartnershipPatient → Clinical care || SDOH → EconomicStability,PartnershipPatient → Clinical care,is draining,SDOH → EconomicStability,my occupation is,0.7801
PartnershipProvider → checkingUnderstanding/clarification || SDOH → EconomicStability,SDOH → EconomicStability,I can not get off work,PartnershipProvider → checkingUnderstanding/clarification,i can not guarantee,0.6032
PartnershipPatient → expressOpinions || SocioEmotionalBehaviour,SocioEmotionalBehaviour,my fear is that it is,PartnershipPatient → expressOpinions,it is impossible,0.7234
PartnershipProvider → requestsForOpinion || SocioEmotionalBehaviour,SocioEmotionalBehaviour,my fear is that it is,PartnershipProvider → requestsForOpinion,is that ok,0.6201
PartnershipPatient → activeParticipation/involvement || SharedDecisionPatient → SeekingApproval,SharedDecisionPatient → SeekingApproval,Is there any way that you could all in Bactrim DS,PartnershipPatient → activeParticipation/involvement,is there any possible way,0.6138
PartnershipPatient → Appreciation/Gratitude || PartnershipPatient → signoff,PartnershipPatient → signoff,Thank you for your time,PartnershipPatient → Appreciation/Gratitude,thank you for your time and your assistance,0.8729
PartnershipPatient → Appreciation/Gratitude || PartnershipPatient → signoff,PartnershipPatient → signoff,Thank you for your time,PartnershipPatient → Appreciation/Gratitude,Thank you so much for your time,0.649
PartnershipPatient → signoff || PartnershipProvider → signoff,PartnershipPatient → signoff,Thank you,PartnershipProvider → signoff,Thank you,1.0
PartnershipPatient → Appreciation/Gratitude || PartnershipPatient → signoff,PartnershipPatient → signoff,Thank you,PartnershipPatient → Appreciation/Gratitude,Thank you,1.0
PartnershipPatient → Appreciation/Gratitude || PartnershipPatient → signoff,PartnershipPatient → signoff,Thank you,PartnershipPatient → Appreciation/Gratitude,Thank you,1.0
PartnershipPatient → signoff || PartnershipProvider → signoff,PartnershipPatient → signoff,Thank you,PartnershipProvider → signoff,Thank you!,1.0
SDOH → EconomicStability || SDOH → HealthCareAccessAndQuality,SDOH → EconomicStability,I am having a hard time going to work,SDOH → HealthCareAccessAndQuality,I am having a very hard time staying awake,0.613
SDOH → EconomicStability || SocioEmotionalBehaviour,SDOH → EconomicStability,doing my duties,SocioEmotionalBehaviour,I am doing my best,0.675
SDOH → EconomicStability || SDOH → HealthCareAccessAndQuality,SDOH → HealthCareAccessAndQuality,every thing I do Has a lot of body movement,SDOH → EconomicStability,"do a lot of squatting, bending",0.7849
SDOH → EconomicStability || SDOH → HealthCareAccessAndQuality,SDOH → HealthCareAccessAndQuality,every thing I do Has a lot of body movement,SDOH → EconomicStability,I am missing a lot of  work,0.6076
SDOH → EconomicStability || SDOH → HealthCareAccessAndQuality,SDOH → EconomicStability,I am missing a lot of  work,SDOH → HealthCareAccessAndQuality,every thing I do Has a lot of body movement,0.6076
