label,neighbor_disagreement,neighbor_total,disagreement_rate
signoff,124,650,0.1908
Appreciation/Gratitude,93,340,0.2735
activeParticipation/involvement,39,2390,0.0163
Clinical care,20,4020,0.005
maintainCommunication,14,130,0.1077
expressOpinions,11,690,0.0159
statePreferences,7,250,0.028
HealthCareAccessAndQuality,2,1650,0.0012
connection,2,140,0.0143
Clinical Care,1,340,0.0029
EconomicStability,1,1120,0.0009
NeighborhoodAndBuiltEnvironment,1,350,0.0029
SeekingApproval,1,330,0.003
SocialAndCommunityContext,1,280,0.0036
Approval/Reinforcement,0,10,0.0
ApprovalofDecision/Reinforcement,0,20,0.0
EducationAccessAndQuality,0,40,0.0
ExploreOptions,0,140,0.0
MakeDecision,0,20,0.0
ShareOptions,0,40,0.0
alignment,0,80,0.0
build trust,0,130,0.0
checkingUnderstanding/clarification,0,70,0.0
inviteCollabration,0,80,0.0
requestsForOpinion,0,40,0.0
salutation,0,540,0.0
