pair,src_label,src_text,nbr_label,nbr_text,similarity
Clinical care || SocialAndCommunityContext,Clinical care,I have an ingrown hair right on top of my vaginal area,SocialAndCommunityContext,recent passing of my brother,0.6404
Clinical care || statePreferences,Clinical care,is draining,statePreferences,Spanish is preferred,1.0
Clinical care || EconomicStability,Clinical care,is draining,EconomicStability,my occupation is,0.7797
Clinical care || checkingUnderstanding/clarification,Clinical care,is draining,checkingUnderstanding/clarification,hydroxyzine is not habit forming,0.7022
Clinical care || SocialAndCommunityContext,Clinical care,is draining,SocialAndCommunityContext,he is my support,0.6525
Clinical care || expressOpinions,expressOpinions,I feel,Clinical care,my eyes feel like they cross,0.6496
activeParticipation/involvement || expressOpinions,expressOpinions,I feel,activeParticipation/involvement,feel free to leave messages on my ph,0.6152
Clinical care || EconomicStability,Clinical care,a knot behind the skin,EconomicStability,avoid the high pricing,0.9033
Clinical care || EconomicStability,Clinical care,a knot behind the skin,EconomicStability,doesn't cost the earth,0.7691
Clinical care || checkingUnderstanding/clarification,Clinical care,a knot behind the skin,checkingUnderstanding/clarification,The $427 is the whole price,0.7396
Clinical care || HealthCareAccessAndQuality,Clinical care,a knot behind the skin,HealthCareAccessAndQuality,I woke up in the middle of the night,0.6353
Clinical care || EconomicStability,Clinical care,a knot behind the skin,EconomicStability,The building I work,0.6224
Clinical care || expressOpinions,Clinical care,it is very tender to touch,expressOpinions,it is impossible,0.7996
Clinical care || HealthCareAccessAndQuality,Clinical care,it is very tender to touch,HealthCareAccessAndQuality,it is a assistance program,0.7007
Clinical care || expressOpinions,Clinical care,it is very tender to touch,expressOpinions,It is my understanding,0.6936
Clinical care || HealthCareAccessAndQuality,Clinical care,it is very tender to touch,HealthCareAccessAndQuality,It is a program from the government,0.6142
EconomicStability || checkingUnderstanding/clarification,EconomicStability,I can not get off work,checkingUnderstanding/clarification,i can not guarantee,0.7717
EconomicStability || activeParticipation/involvement,EconomicStability,I can not get off work,activeParticipation/involvement,I can not monitor my sugar,0.7173
Clinical care || expressOpinions,expressOpinions,might turn into a staff infection,Clinical care,I have a yeast infection,0.7554
Clinical care || expressOpinions,expressOpinions,might turn into a staff infection,Clinical care,I have not had a staff infection,0.7222
Clinical care || expressOpinions,Clinical care,I have not had a staff infection,expressOpinions,might turn into a staff infection,0.7222
SeekingApproval || activeParticipation/involvement,SeekingApproval,Is there any way that you could all in Bactrim DS,activeParticipation/involvement,is there any possible way,0.7694
ExploreOptions || SeekingApproval,SeekingApproval,Is there any way that you could all in Bactrim DS,ExploreOptions,Is there any medication that would assist in this other than Benadryl?,0.6945
ExploreOptions || SeekingApproval,SeekingApproval,Is there any way that you could all in Bactrim DS,ExploreOptions,Is there any other medication,0.662
SeekingApproval || activeParticipation/involvement,SeekingApproval,Is there any way that you could all in Bactrim DS,activeParticipation/involvement,Is there a cardiologist and nephrologist that you can refer me,0.6233
Clinical care || activeParticipation/involvement,Clinical care,to clear up any infection,activeParticipation/involvement,I'm open to any suggestions,0.6424
Clinical care || EconomicStability,Clinical care,Bactrim is the only antibotice that has worked,EconomicStability,I haven't worked since Feb,0.7457
Clinical care || activeParticipation/involvement,Clinical care,Bactrim is the only antibotice that has worked,activeParticipation/involvement,my only question is how is the screening different,0.6357
activeParticipation/involvement || inviteCollabration,activeParticipation/involvement,leave me a message on my phone,inviteCollabration,leave a message,0.6935
Clinical care || activeParticipation/involvement,activeParticipation/involvement,leave me a message on my phone,Clinical care,on my Pramipexole?,0.6467
Appreciation/Gratitude || signoff,signoff,Thank you for your time,Appreciation/Gratitude,thank you for your time and your assistance,0.9304
build trust || signoff,signoff,Thank you for your time,build trust,for your reassurance,0.7438
Appreciation/Gratitude || signoff,signoff,Thank you for your time,Appreciation/Gratitude,Thank you so much for your time,0.7425
