label,neighbor_disagreement,neighbor_total,disagreement_rate
Clinical care,592,4020,0.1473
activeParticipation/involvement,417,2390,0.1745
HealthCareAccessAndQuality,231,1650,0.14
EconomicStability,204,1120,0.1821
Appreciation/Gratitude,162,340,0.4765
expressOpinions,117,690,0.1696
signoff,112,650,0.1723
SocialAndCommunityContext,100,280,0.3571
NeighborhoodAndBuiltEnvironment,93,350,0.2657
statePreferences,78,250,0.312
SeekingApproval,61,330,0.1848
maintainCommunication,58,130,0.4462
Clinical Care,52,340,0.1529
ExploreOptions,29,140,0.2071
build trust,27,130,0.2077
inviteCollabration,26,80,0.325
checkingUnderstanding/clarification,22,70,0.3143
connection,21,140,0.15
alignment,17,80,0.2125
requestsForOpinion,15,40,0.375
ShareOptions,14,40,0.35
ApprovalofDecision/Reinforcement,10,20,0.5
Approval/Reinforcement,2,10,0.2
EducationAccessAndQuality,1,40,0.025
MakeDecision,0,20,0.0
salutation,0,540,0.0
