label_a,label_b,conflict_count,mean_similarity,median_similarity,max_similarity,min_similarity
Appreciation/Gratitude,signoff,296,0.9236,1.0,1.0,0.604
Clinical care,activeParticipation/involvement,192,0.7117,0.7157,0.8658,0.6008
Clinical Care,Clinical care,147,0.7404,0.7147,0.9516,0.6015
activeParticipation/involvement,expressOpinions,88,0.7119,0.7039,1.0,0.6002
activeParticipation/involvement,maintainCommunication,83,0.7987,0.7857,1.0,0.6031
Clinical care,HealthCareAccessAndQuality,80,0.6689,0.6637,0.8153,0.605
activeParticipation/involvement,statePreferences,66,0.7128,0.6726,0.8878,0.6001
Clinical care,SeekingApproval,55,0.7024,0.6918,0.8794,0.6001
SeekingApproval,activeParticipation/involvement,40,0.6631,0.6482,0.7457,0.6039
Clinical care,statePreferences,29,0.6773,0.684,0.7423,0.6006
HealthCareAccessAndQuality,activeParticipation/involvement,29,0.6712,0.652,0.7803,0.6047
Clinical care,EconomicStability,26,0.6539,0.6323,0.7233,0.6067
Clinical care,salutation,23,0.9872,1.0,1.0,0.7045
EconomicStability,HealthCareAccessAndQuality,22,0.6505,0.6408,0.7245,0.608
activeParticipation/involvement,inviteCollabration,19,0.7066,0.7537,0.8087,0.6074
HealthCareAccessAndQuality,SeekingApproval,18,0.7049,0.6722,0.8547,0.6273
Clinical care,ExploreOptions,13,0.7067,0.6691,0.8068,0.6074
Clinical Care,activeParticipation/involvement,10,0.6724,0.6351,0.7546,0.618
EconomicStability,NeighborhoodAndBuiltEnvironment,8,0.6515,0.6542,0.6844,0.6134
activeParticipation/involvement,connection,8,0.7212,0.6592,0.9472,0.6193
Clinical Care,HealthCareAccessAndQuality,7,0.673,0.6818,0.7065,0.6387
Clinical care,expressOpinions,6,0.6925,0.6451,0.804,0.6285
NeighborhoodAndBuiltEnvironment,expressOpinions,6,0.6557,0.6306,0.7249,0.6116
Appreciation/Gratitude,activeParticipation/involvement,6,0.6309,0.6424,0.6424,0.6078
EconomicStability,activeParticipation/involvement,6,0.6517,0.6329,0.6986,0.6237
ExploreOptions,activeParticipation/involvement,6,0.6561,0.6274,0.7334,0.6009
Clinical care,connection,6,0.6353,0.6388,0.6429,0.624
ExploreOptions,SeekingApproval,5,0.6213,0.616,0.6404,0.6049
SeekingApproval,statePreferences,5,0.6533,0.6353,0.6997,0.6159
expressOpinions,statePreferences,5,0.6603,0.6424,0.7025,0.6118
Clinical Care,SeekingApproval,4,0.6359,0.6359,0.6392,0.6326
EconomicStability,expressOpinions,4,0.7156,0.7156,0.755,0.6761
Clinical care,inviteCollabration,4,0.7264,0.7264,0.7356,0.7171
activeParticipation/involvement,checkingUnderstanding/clarification,4,0.7248,0.7248,0.7314,0.7182
HealthCareAccessAndQuality,expressOpinions,2,0.6483,0.6483,0.6483,0.6483
Clinical care,SocialAndCommunityContext,2,0.6806,0.6806,0.6806,0.6806
SocialAndCommunityContext,connection,2,0.6591,0.6591,0.6591,0.6591
NeighborhoodAndBuiltEnvironment,SocialAndCommunityContext,2,0.695,0.695,0.695,0.695
SeekingApproval,inviteCollabration,2,0.6463,0.6463,0.6463,0.6463
ApprovalofDecision/Reinforcement,activeParticipation/involvement,2,0.6588,0.6588,0.6588,0.6588
HealthCareAccessAndQuality,statePreferences,2,0.6393,0.6393,0.6772,0.6014
Clinical care,build trust,2,0.6176,0.6176,0.6176,0.6176
EconomicStability,ExploreOptions,2,0.6146,0.6146,0.6146,0.6146
Approval/Reinforcement,activeParticipation/involvement,2,0.6122,0.6122,0.6122,0.6122
SocialAndCommunityContext,activeParticipation/involvement,2,0.6091,0.6091,0.6091,0.6091
Appreciation/Gratitude,expressOpinions,2,0.6268,0.6268,0.6268,0.6268
EconomicStability,SeekingApproval,2,0.6161,0.6161,0.6161,0.6161
Approval/Reinforcement,ApprovalofDecision/Reinforcement,2,0.7259,0.7259,0.7259,0.7259
Clinical Care,inviteCollabration,2,0.6366,0.6366,0.6366,0.6366
ShareOptions,activeParticipation/involvement,2,0.6588,0.6588,0.6588,0.6588
ExploreOptions,ShareOptions,2,0.6168,0.6168,0.6168,0.6168
ExploreOptions,maintainCommunication,2,0.6723,0.6723,0.6723,0.6723
Clinical Care,statePreferences,1,0.6457,0.6457,0.6457,0.6457
activeParticipation/involvement,requestsForOpinion,1,0.6049,0.6049,0.6049,0.6049
Clinical care,checkingUnderstanding/clarification,1,1.0,1.0,1.0,1.0
