pair,src_label,src_text,nbr_label,nbr_text,similarity
Clinical care || expressOpinions,expressOpinions,might turn into a staff infection,Clinical care,I have not had a staff infection,0.804
Clinical care || expressOpinions,Clinical care,I have not had a staff infection,expressOpinions,might turn into a staff infection,0.804
activeParticipation/involvement || inviteCollabration,activeParticipation/involvement,leave me a message on my phone,inviteCollabration,leave a message,0.8087
Appreciation/Gratitude || signoff,signoff,Thank you for your time,Appreciation/Gratitude,Thank you so much for your time,0.8673
Appreciation/Gratitude || signoff,signoff,Thank you for your time,Appreciation/Gratitude,thank you for your time and your assistance,0.7613
Clinical care || SeekingApproval,SeekingApproval,Can I get back on Adderall XR,Clinical care,we can start over with Adderall XR 20mg,0.7119
Clinical care || SeekingApproval,SeekingApproval,Can I get back on Adderall XR,Clinical care,will run out of my Adderall,0.699
Clinical care || SeekingApproval,SeekingApproval,Can I get back on Adderall XR,Clinical care,Adderall refilled early,0.6514
Clinical care || SeekingApproval,SeekingApproval,Can I get back on Adderall XR,Clinical care,refill for the Adderall,0.6001
Appreciation/Gratitude || signoff,signoff,Thank you,Appreciation/Gratitude,thank you,1.0
Appreciation/Gratitude || signoff,signoff,Thank you,Appreciation/Gratitude,Thank You,1.0
Appreciation/Gratitude || signoff,signoff,Thank you,Appreciation/Gratitude,Thank you,1.0
HealthCareAccessAndQuality || expressOpinions,HealthCareAccessAndQuality,I canâ€™t sleep,expressOpinions,I canâ€™t seem,0.6483
EconomicStability || HealthCareAccessAndQuality,HealthCareAccessAndQuality,I canâ€™t sleep,EconomicStability,I canâ€™t take off the time to come in,0.6321
EconomicStability || HealthCareAccessAndQuality,HealthCareAccessAndQuality,I canâ€™t sleep,EconomicStability,I canâ€™t afford,0.618
Clinical care || activeParticipation/involvement,Clinical care,I have an appointment this,activeParticipation/involvement,I can call andake an appointment,0.7646
Clinical care || HealthCareAccessAndQuality,Clinical care,I have an appointment this,HealthCareAccessAndQuality,I havent been able to get an appointment,0.7569
Clinical care || activeParticipation/involvement,Clinical care,I have an appointment this,activeParticipation/involvement,Need an appointment asap,0.7408
Clinical Care || Clinical care,Clinical care,to go over labs,Clinical Care,for follow up and labs,0.709
Clinical care || EconomicStability,Clinical care,to go over labs,EconomicStability,I've paid for my labs,0.6198
activeParticipation/involvement || statePreferences,activeParticipation/involvement,I also need to go to get a refill,statePreferences,refill asap,0.7562
Clinical care || activeParticipation/involvement,activeParticipation/involvement,I also need to go to get a refill,Clinical care,if I can get refills,0.7447
Clinical care || activeParticipation/involvement,activeParticipation/involvement,I also need to go to get a refill,Clinical care,to get a refill,0.7333
Clinical care || activeParticipation/involvement,activeParticipation/involvement,I also need to go to get a refill,Clinical care,a visit to get a refill,0.7327
Clinical care || activeParticipation/involvement,activeParticipation/involvement,I also need to go to get a refill,Clinical care,request a refill for my prescription,0.7152
Clinical care || activeParticipation/involvement,activeParticipation/involvement,I also need to go to get a refill,Clinical care,Please send a refill prescription,0.7011
Clinical care || activeParticipation/involvement,activeParticipation/involvement,I also need to go to get a refill,Clinical care,refill  Everything,0.6798
activeParticipation/involvement || expressOpinions,expressOpinions,I was wondering,activeParticipation/involvement,I wanted to know,0.721
activeParticipation/involvement || expressOpinions,expressOpinions,I was wondering,activeParticipation/involvement,I just wanted to ask,0.7039
activeParticipation/involvement || expressOpinions,expressOpinions,I was wondering,activeParticipation/involvement,I need to know,0.62
Clinical care || activeParticipation/involvement,activeParticipation/involvement,I could just get some filled,Clinical care,it can't be filled at this time,0.6264
SeekingApproval || activeParticipation/involvement,activeParticipation/involvement,I could just get some filled,SeekingApproval,Can it still be filled?,0.6039
Clinical care || activeParticipation/involvement,activeParticipation/involvement,to last me until my appointment,Clinical care,to make my appointment,0.7719
Clinical care || activeParticipation/involvement,activeParticipation/involvement,to last me until my appointment,Clinical care,for an appointment,0.6829
Clinical care || activeParticipation/involvement,activeParticipation/involvement,to last me until my appointment,Clinical care,my appointment for,0.6822
Clinical care || activeParticipation/involvement,activeParticipation/involvement,to last me until my appointment,Clinical care,I have an appointment,0.6516
Clinical care || activeParticipation/involvement,activeParticipation/involvement,to last me until my appointment,Clinical care,for appointment to see doctor,0.6394
Clinical care || activeParticipation/involvement,activeParticipation/involvement,to last me until my appointment,Clinical care,to schedule the appointment,0.6177
Clinical care || activeParticipation/involvement,activeParticipation/involvement,to last me until my appointment,Clinical care,My original appointment,0.617
Clinical care || activeParticipation/involvement,activeParticipation/involvement,to last me until my appointment,Clinical care,I'm long overdue for an appointment,0.6093
Clinical care || activeParticipation/involvement,activeParticipation/involvement,to last me until my appointment,Clinical care,I had my appointment,0.6061
Clinical care || activeParticipation/involvement,Clinical care,how long lab results would take,activeParticipation/involvement,Or would the results be quick enough,0.6355
Clinical care || SeekingApproval,SeekingApproval,Would it be best to reschedule,Clinical care,to  reschedule,0.7738
SeekingApproval || activeParticipation/involvement,SeekingApproval,Would it be best to reschedule,activeParticipation/involvement,I do need to reschedule,0.7457
SeekingApproval || activeParticipation/involvement,SeekingApproval,Would it be best to reschedule,activeParticipation/involvement,Please reschedule me,0.6921
Clinical care || activeParticipation/involvement,activeParticipation/involvement,Or would the results be quick enough,Clinical care,how long lab results would take,0.6355
Appreciation/Gratitude || signoff,signoff,Thank you,Appreciation/Gratitude,thank you,1.0
Appreciation/Gratitude || signoff,signoff,Thank you,Appreciation/Gratitude,Thank You,1.0
Appreciation/Gratitude || signoff,signoff,Thank you,Appreciation/Gratitude,Thank you,1.0
Appreciation/Gratitude || signoff,signoff,Thank you!,Appreciation/Gratitude,Thank you,0.8314
Appreciation/Gratitude || signoff,signoff,Thank you!,Appreciation/Gratitude,thank you,0.8314
activeParticipation/involvement || statePreferences,statePreferences,I'd like to change,activeParticipation/involvement,I want to change,0.8401
activeParticipation/involvement || statePreferences,statePreferences,I'd like to change,activeParticipation/involvement,I want to change,0.8401
activeParticipation/involvement || statePreferences,statePreferences,I'd like to change,activeParticipation/involvement,I would like to,0.6362
Clinical Care || Clinical care,Clinical care,my upcoming appointment information,Clinical Care,schedule that appointment,0.7181
Clinical Care || Clinical care,Clinical care,My original appointment: Date:,Clinical Care,schedule that appointment,0.7238
Clinical care || SocialAndCommunityContext,SocialAndCommunityContext,I had a visitor,Clinical care,I came in for my visit,0.6806
SocialAndCommunityContext || connection,SocialAndCommunityContext,I had a visitor,connection,I had a wonderful visit,0.6591
Clinical care || activeParticipation/involvement,Clinical care,tested positive for Covid,activeParticipation/involvement,if you do covid testing there?,0.6951
