method,pair,src_label,src_text,nbr_label,nbr_text,similarity
sbert,Clinical care || expressOpinions,expressOpinions,might turn into a staff infection,Clinical care,I have not had a staff infection,0.804
sbert,Clinical care || expressOpinions,Clinical care,I have not had a staff infection,expressOpinions,might turn into a staff infection,0.804
sbert,activeParticipation/involvement || inviteCollabration,activeParticipation/involvement,leave me a message on my phone,inviteCollabration,leave a message,0.8087
sbert,Appreciation/Gratitude || signoff,signoff,Thank you for your time,Appreciation/Gratitude,Thank you so much for your time,0.8673
sbert,Appreciation/Gratitude || signoff,signoff,Thank you for your time,Appreciation/Gratitude,thank you for your time and your assistance,0.7613
sbert,Clinical care || SeekingApproval,SeekingApproval,Can I get back on Adderall XR,Clinical care,we can start over with Adderall XR 20mg,0.7119
sbert,Clinical care || SeekingApproval,SeekingApproval,Can I get back on Adderall XR,Clinical care,will run out of my Adderall,0.699
sbert,Clinical care || SeekingApproval,SeekingApproval,Can I get back on Adderall XR,Clinical care,Adderall refilled early,0.6514
sbert,Clinical care || SeekingApproval,SeekingApproval,Can I get back on Adderall XR,Clinical care,refill for the Adderall,0.6001
sbert,Appreciation/Gratitude || signoff,signoff,Thank you,Appreciation/Gratitude,thank you,1.0
sbert,Appreciation/Gratitude || signoff,signoff,Thank you,Appreciation/Gratitude,Thank You,1.0
sbert,Appreciation/Gratitude || signoff,signoff,Thank you,Appreciation/Gratitude,Thank you,1.0
sbert,HealthCareAccessAndQuality || expressOpinions,HealthCareAccessAndQuality,I canâ€™t sleep,expressOpinions,I canâ€™t seem,0.6483
sbert,EconomicStability || HealthCareAccessAndQuality,HealthCareAccessAndQuality,I canâ€™t sleep,EconomicStability,I canâ€™t take off the time to come in,0.6321
sbert,EconomicStability || HealthCareAccessAndQuality,HealthCareAccessAndQuality,I canâ€™t sleep,EconomicStability,I canâ€™t afford,0.618
sbert,Clinical care || activeParticipation/involvement,Clinical care,I have an appointment this,activeParticipation/involvement,I can call andake an appointment,0.7646
sbert,Clinical care || HealthCareAccessAndQuality,Clinical care,I have an appointment this,HealthCareAccessAndQuality,I havent been able to get an appointment,0.7569
sbert,Clinical care || activeParticipation/involvement,Clinical care,I have an appointment this,activeParticipation/involvement,Need an appointment asap,0.7408
sbert,Clinical Care || Clinical care,Clinical care,to go over labs,Clinical Care,for follow up and labs,0.709
sbert,Clinical care || EconomicStability,Clinical care,to go over labs,EconomicStability,I've paid for my labs,0.6198
sbert,activeParticipation/involvement || statePreferences,activeParticipation/involvement,I also need to go to get a refill,statePreferences,refill asap,0.7562
sbert,Clinical care || activeParticipation/involvement,activeParticipation/involvement,I also need to go to get a refill,Clinical care,if I can get refills,0.7447
sbert,Clinical care || activeParticipation/involvement,activeParticipation/involvement,I also need to go to get a refill,Clinical care,to get a refill,0.7333
