method,label,neighbor_disagreement,neighbor_total,disagreement_rate
sbert,Clinical care,284,4020,0.0706
sbert,activeParticipation/involvement,274,2390,0.1146
sbert,signoff,168,650,0.2585
sbert,Appreciation/Gratitude,132,340,0.3882
sbert,HealthCareAccessAndQuality,89,1650,0.0539
sbert,Clinical Care,78,340,0.2294
sbert,SeekingApproval,76,330,0.2303
sbert,statePreferences,58,250,0.232
sbert,expressOpinions,56,690,0.0812
sbert,maintainCommunication,38,130,0.2923
sbert,EconomicStability,35,1120,0.0312
sbert,ExploreOptions,18,140,0.1286
sbert,inviteCollabration,14,80,0.175
sbert,salutation,14,540,0.0259
sbert,NeighborhoodAndBuiltEnvironment,8,350,0.0229
sbert,connection,8,140,0.0571
sbert,SocialAndCommunityContext,4,280,0.0143
sbert,checkingUnderstanding/clarification,3,70,0.0429
sbert,Approval/Reinforcement,2,10,0.2
sbert,ApprovalofDecision/Reinforcement,2,20,0.1
sbert,ShareOptions,2,40,0.05
sbert,build trust,1,130,0.0077
sbert,requestsForOpinion,1,40,0.025
sbert,EducationAccessAndQuality,0,40,0.0
sbert,MakeDecision,0,20,0.0
sbert,alignment,0,80,0.0
tfidf,signoff,164,650,0.2523
tfidf,Appreciation/Gratitude,115,340,0.3382
tfidf,Clinical care,96,4020,0.0239
tfidf,activeParticipation/involvement,96,2390,0.0402
tfidf,EconomicStability,30,1120,0.0268
tfidf,HealthCareAccessAndQuality,29,1650,0.0176
tfidf,maintainCommunication,27,130,0.2077
tfidf,expressOpinions,26,690,0.0377
tfidf,statePreferences,25,250,0.1
tfidf,SocialAndCommunityContext,23,280,0.0821
tfidf,SeekingApproval,15,330,0.0455
tfidf,NeighborhoodAndBuiltEnvironment,14,350,0.04
tfidf,Clinical Care,11,340,0.0324
tfidf,ExploreOptions,6,140,0.0429
tfidf,inviteCollabration,5,80,0.0625
tfidf,alignment,4,80,0.05
tfidf,ShareOptions,3,40,0.075
tfidf,checkingUnderstanding/clarification,3,70,0.0429
tfidf,connection,3,140,0.0214
tfidf,Approval/Reinforcement,2,10,0.2
tfidf,ApprovalofDecision/Reinforcement,2,20,0.1
tfidf,build trust,2,130,0.0154
tfidf,requestsForOpinion,2,40,0.05
tfidf,EducationAccessAndQuality,0,40,0.0
tfidf,MakeDecision,0,20,0.0
tfidf,salutation,0,540,0.0
lsa,Clinical care,592,4020,0.1473
lsa,activeParticipation/involvement,417,2390,0.1745
lsa,HealthCareAccessAndQuality,231,1650,0.14
lsa,EconomicStability,204,1120,0.1821
lsa,Appreciation/Gratitude,162,340,0.4765
lsa,expressOpinions,117,690,0.1696
lsa,signoff,112,650,0.1723
lsa,SocialAndCommunityContext,100,280,0.3571
lsa,NeighborhoodAndBuiltEnvironment,93,350,0.2657
lsa,statePreferences,78,250,0.312
lsa,SeekingApproval,61,330,0.1848
lsa,maintainCommunication,58,130,0.4462
lsa,Clinical Care,52,340,0.1529
lsa,ExploreOptions,29,140,0.2071
lsa,build trust,27,130,0.2077
lsa,inviteCollabration,26,80,0.325
lsa,checkingUnderstanding/clarification,22,70,0.3143
lsa,connection,21,140,0.15
lsa,alignment,17,80,0.2125
lsa,requestsForOpinion,15,40,0.375
lsa,ShareOptions,14,40,0.35
lsa,ApprovalofDecision/Reinforcement,10,20,0.5
lsa,Approval/Reinforcement,2,10,0.2
lsa,EducationAccessAndQuality,1,40,0.025
lsa,MakeDecision,0,20,0.0
lsa,salutation,0,540,0.0
jaccard,signoff,124,650,0.1908
jaccard,Appreciation/Gratitude,93,340,0.2735
jaccard,activeParticipation/involvement,39,2390,0.0163
jaccard,Clinical care,20,4020,0.005
jaccard,maintainCommunication,14,130,0.1077
jaccard,expressOpinions,11,690,0.0159
jaccard,statePreferences,7,250,0.028
jaccard,HealthCareAccessAndQuality,2,1650,0.0012
jaccard,connection,2,140,0.0143
jaccard,Clinical Care,1,340,0.0029
jaccard,EconomicStability,1,1120,0.0009
jaccard,NeighborhoodAndBuiltEnvironment,1,350,0.0029
jaccard,SeekingApproval,1,330,0.003
jaccard,SocialAndCommunityContext,1,280,0.0036
jaccard,Approval/Reinforcement,0,10,0.0
jaccard,ApprovalofDecision/Reinforcement,0,20,0.0
jaccard,EducationAccessAndQuality,0,40,0.0
jaccard,ExploreOptions,0,140,0.0
jaccard,MakeDecision,0,20,0.0
jaccard,ShareOptions,0,40,0.0
jaccard,alignment,0,80,0.0
jaccard,build trust,0,130,0.0
jaccard,checkingUnderstanding/clarification,0,70,0.0
jaccard,inviteCollabration,0,80,0.0
jaccard,requestsForOpinion,0,40,0.0
jaccard,salutation,0,540,0.0
