pair,src_label,src_text,nbr_label,nbr_text,similarity
Clinical care || EconomicStability,Clinical care,is draining,EconomicStability,my occupation is,0.7785
Clinical care || expressOpinions,Clinical care,it is very tender to touch,expressOpinions,it is impossible,0.674
EconomicStability || checkingUnderstanding/clarification,EconomicStability,I can not get off work,checkingUnderstanding/clarification,i can not guarantee,0.6148
SeekingApproval || activeParticipation/involvement,SeekingApproval,Is there any way that you could all in Bactrim DS,activeParticipation/involvement,is there any possible way,0.6125
Appreciation/Gratitude || signoff,signoff,Thank you for your time,Appreciation/Gratitude,thank you for your time and your assistance,0.8736
Appreciation/Gratitude || signoff,signoff,Thank you for your time,Appreciation/Gratitude,Thank you so much for your time,0.6491
Appreciation/Gratitude || signoff,signoff,Thank you,Appreciation/Gratitude,Thank you,1.0
Appreciation/Gratitude || signoff,signoff,Thank you,Appreciation/Gratitude,Thank You,1.0
Appreciation/Gratitude || signoff,signoff,Thank you,Appreciation/Gratitude,Thank you,1.0
EconomicStability || HealthCareAccessAndQuality,EconomicStability,I am having a hard time going to work,HealthCareAccessAndQuality,I am having a very hard time staying awake,0.6167
Clinical care || EconomicStability,EconomicStability,doing my duties,Clinical care,doing the trulicity,0.7989
EconomicStability || HealthCareAccessAndQuality,HealthCareAccessAndQuality,every thing I do Has a lot of body movement,EconomicStability,"do a lot of squatting, bending",0.7709
Clinical care || SocialAndCommunityContext,Clinical care,I have a huge lump in my cheek,SocialAndCommunityContext,in my family,0.7234
Clinical care || EconomicStability,Clinical care,to go over labs,EconomicStability,to go work,0.643
Clinical care || EconomicStability,Clinical care,my Lisinopril and my Metoprolol,EconomicStability,excuse my absences,0.8008
EconomicStability || NeighborhoodAndBuiltEnvironment,NeighborhoodAndBuiltEnvironment,the roads are icing,EconomicStability,finances are the barriers,0.6585
Clinical care || SeekingApproval,SeekingApproval,Would it be best to reschedule,Clinical care,to  reschedule,0.6324
Appreciation/Gratitude || signoff,signoff,Thank you,Appreciation/Gratitude,Thank you,1.0
Appreciation/Gratitude || signoff,signoff,Thank you,Appreciation/Gratitude,Thank You,1.0
Appreciation/Gratitude || signoff,signoff,Thank you,Appreciation/Gratitude,Thank you,1.0
alignment || requestsForOpinion,requestsForOpinion,is that ok,alignment,Ok,0.6041
Appreciation/Gratitude || signoff,signoff,Thank you!,Appreciation/Gratitude,Thank you,1.0
Appreciation/Gratitude || signoff,signoff,Thank you!,Appreciation/Gratitude,Thank You,1.0
Appreciation/Gratitude || signoff,signoff,Thank you!,Appreciation/Gratitude,Thank you,1.0
SocialAndCommunityContext || signoff,SocialAndCommunityContext,I had a visitor,signoff,I had an X-ray done,0.6005
Clinical care || SocialAndCommunityContext,SocialAndCommunityContext,I have voluntarily quarantined,Clinical care,I have difficulty focusing,1.0
SocialAndCommunityContext || activeParticipation/involvement,SocialAndCommunityContext,I have voluntarily quarantined,activeParticipation/involvement,I have discovered,1.0
Clinical care || SocialAndCommunityContext,SocialAndCommunityContext,I have voluntarily quarantined,Clinical care,I have a recheck appointment,0.6296
Clinical care || expressOpinions,expressOpinions,It seems like,Clinical care,it's a controlled substance,0.6012
NeighborhoodAndBuiltEnvironment || expressOpinions,expressOpinions,I will never get there!,NeighborhoodAndBuiltEnvironment,canâ€™t get there,0.644
activeParticipation/involvement || statePreferences,statePreferences,I want to change to,activeParticipation/involvement,I want to change,0.9792
activeParticipation/involvement || statePreferences,statePreferences,I want to change to,activeParticipation/involvement,I want to change,0.9792
Clinical care || alignment,Clinical care,I am doing okay mentally,alignment,Okay!,0.6723
Appreciation/Gratitude || signoff,Appreciation/Gratitude,Thank you so much,signoff,Thanks so much!,0.6384
Clinical care || activeParticipation/involvement,activeParticipation/involvement,I did not do this process earlier,Clinical care,did not require 30 day visits,0.6047
EconomicStability || activeParticipation/involvement,EconomicStability,I have been crazy busy,activeParticipation/involvement,I have been recieving,0.7773
EconomicStability || activeParticipation/involvement,EconomicStability,I have been crazy busy,activeParticipation/involvement,I have been trying,0.6286
Clinical care || HealthCareAccessAndQuality,HealthCareAccessAndQuality,eating scrambled eggs and soup,Clinical care,vertigo and dizziness,1.0
Clinical care || HealthCareAccessAndQuality,HealthCareAccessAndQuality,eating scrambled eggs and soup,Clinical care,Adderall and zofran,0.6279
Clinical care || HealthCareAccessAndQuality,HealthCareAccessAndQuality,eating scrambled eggs and soup,Clinical care,those results and reports,0.6217
Clinical care || SeekingApproval,Clinical care,I can tolerate,SeekingApproval,Can I switch to,0.8273
Clinical care || HealthCareAccessAndQuality,Clinical care,pain after I eat,HealthCareAccessAndQuality,after I eat anything,0.6911
Clinical care || activeParticipation/involvement,Clinical care,My bowel movements have been few,activeParticipation/involvement,I have been recieving,0.6372
Clinical care || HealthCareAccessAndQuality,HealthCareAccessAndQuality,after I eat anything,Clinical care,pain after I eat,0.6911
Clinical care || NeighborhoodAndBuiltEnvironment,Clinical care,due to the discomfort,NeighborhoodAndBuiltEnvironment,due to car wreck,0.6458
Appreciation/Gratitude || signoff,signoff,Thank you,Appreciation/Gratitude,Thank you,1.0
Appreciation/Gratitude || signoff,signoff,Thank you,Appreciation/Gratitude,Thank You,1.0
Appreciation/Gratitude || signoff,signoff,Thank you,Appreciation/Gratitude,Thank you,1.0
activeParticipation/involvement || expressOpinions,expressOpinions,I would like to give them documentation,activeParticipation/involvement,I would like to,0.7025
ShareOptions || expressOpinions,expressOpinions,I would like to give them documentation,ShareOptions,if you would like to give it try,0.6814
expressOpinions || statePreferences,expressOpinions,I would like to give them documentation,statePreferences,I would like to continue using them,0.6231
Clinical care || activeParticipation/involvement,Clinical care,waiting for MRI results,activeParticipation/involvement,I am waiting for,0.7004
Clinical care || activeParticipation/involvement,activeParticipation/involvement,I just saw this,Clinical care,just wearing masks,0.7153
activeParticipation/involvement || maintainCommunication,activeParticipation/involvement,I just saw this,maintainCommunication,This is just a reminder,0.6386
Clinical care || activeParticipation/involvement,Clinical care,I will need to come in next week too,activeParticipation/involvement,I need to come in,0.6534
NeighborhoodAndBuiltEnvironment || SocialAndCommunityContext,SocialAndCommunityContext,husband out of town,NeighborhoodAndBuiltEnvironment,being out of town,0.7971
NeighborhoodAndBuiltEnvironment || SocialAndCommunityContext,SocialAndCommunityContext,husband out of town,NeighborhoodAndBuiltEnvironment,I had to go out of town,0.6362
Clinical care || expressOpinions,Clinical care,it's a controlled substance,expressOpinions,It seems like,0.6012
Appreciation/Gratitude || signoff,Appreciation/Gratitude,Thanks!,signoff,Thanks!,1.0
Appreciation/Gratitude || signoff,Appreciation/Gratitude,Thanks!,signoff,Thanks,1.0
Appreciation/Gratitude || signoff,Appreciation/Gratitude,Thanks!,signoff,Thanks,1.0
Appreciation/Gratitude || signoff,Appreciation/Gratitude,Thanks!,signoff,Thanks,1.0
Appreciation/Gratitude || signoff,Appreciation/Gratitude,Thanks!,signoff,Thanks!,1.0
Appreciation/Gratitude || signoff,Appreciation/Gratitude,Thanks!,signoff,Thanks,1.0
Appreciation/Gratitude || signoff,Appreciation/Gratitude,Thanks!,signoff,Thanks!,1.0
Appreciation/Gratitude || signoff,signoff,Thanks!,Appreciation/Gratitude,Thanks,1.0
Appreciation/Gratitude || signoff,signoff,Thanks!,Appreciation/Gratitude,Thanks!,1.0
Appreciation/Gratitude || signoff,signoff,Thanks!,Appreciation/Gratitude,thanks,1.0
Clinical care || EconomicStability,Clinical care,injured my shoulder,EconomicStability,my occupation is,0.6277
activeParticipation/involvement || build trust,activeParticipation/involvement,I just want to make sure,build trust,just want to reassure you again,0.6029
activeParticipation/involvement || statePreferences,statePreferences,would like a recommendation,activeParticipation/involvement,I would like to,0.8227
activeParticipation/involvement || statePreferences,statePreferences,would like a recommendation,activeParticipation/involvement,I would like to see,0.6673
activeParticipation/involvement || statePreferences,statePreferences,would like a recommendation,activeParticipation/involvement,I would like to see,0.6673
EconomicStability || SocialAndCommunityContext,EconomicStability,I have to work,SocialAndCommunityContext,I have 2 Easter lunch banquets I have to attend,0.6468
SeekingApproval || activeParticipation/involvement,activeParticipation/involvement,Can you help,SeekingApproval,can you electronically send,0.6725
activeParticipation/involvement || statePreferences,activeParticipation/involvement,get me a referral?,statePreferences,get me in sooner,0.6251
Clinical care || HealthCareAccessAndQuality,HealthCareAccessAndQuality,none I've been smoke free for 8weeks,Clinical care,I've been out,0.7312
Clinical Care || Clinical care,Clinical care,drospirenone 3 mg,Clinical Care,Fenofibrate 54 mg 1 PO QD,0.6685
Clinical care || activeParticipation/involvement,Clinical care,I have been taking these medications,activeParticipation/involvement,I have been taking them,0.6586
Clinical care || EconomicStability,Clinical care,no adverse affects,EconomicStability,No $ to buy benadryl,0.6195
activeParticipation/involvement || statePreferences,statePreferences,I would like to continue using them,activeParticipation/involvement,I would like to,0.6979
expressOpinions || statePreferences,statePreferences,I would like to continue using them,expressOpinions,I would like to give them documentation,0.6231
SocialAndCommunityContext || activeParticipation/involvement,activeParticipation/involvement,I was able to,SocialAndCommunityContext,My sister was able to have,0.6278
NeighborhoodAndBuiltEnvironment || expressOpinions,NeighborhoodAndBuiltEnvironment,canâ€™t get there,expressOpinions,I will never get there!,0.644
Clinical Care || Clinical care,Clinical care,do I need blood work done?,Clinical Care,blood work,0.627
Clinical care || SeekingApproval,Clinical care,to schedule an appointment for counseling,SeekingApproval,can I schedule an appointment for genetic testing?,0.6453
NeighborhoodAndBuiltEnvironment || activeParticipation/involvement,activeParticipation/involvement,I'll be able to,NeighborhoodAndBuiltEnvironment,I wonâ€™t be able to drive in it,0.7003
activeParticipation/involvement || maintainCommunication,activeParticipation/involvement,I'll be able to,maintainCommunication,you'll be contacted,0.6585
EconomicStability || HealthCareAccessAndQuality,EconomicStability,I am having a hard time getting to work,HealthCareAccessAndQuality,I am having a very hard time staying awake,0.6562
EconomicStability || HealthCareAccessAndQuality,EconomicStability,"do a lot of squatting, bending",HealthCareAccessAndQuality,every thing I do Has a lot of body movement,0.7709
Clinical care || EconomicStability,EconomicStability,excuse my absences,Clinical care,injured my shoulder,1.0
Clinical care || EconomicStability,EconomicStability,excuse my absences,Clinical care,my Lisinopril and my Metoprolol,0.8008
Clinical care || SocialAndCommunityContext,Clinical care,because of my condition,SocialAndCommunityContext,recent passing of my brother,0.7217
activeParticipation/involvement || maintainCommunication,activeParticipation/involvement,let me know,maintainCommunication,Please let me know,0.8496
activeParticipation/involvement || maintainCommunication,activeParticipation/involvement,let me know,maintainCommunication,Please let me know,0.8496
activeParticipation/involvement || statePreferences,activeParticipation/involvement,I will discontinue asap,statePreferences,refill asap,0.6158
HealthCareAccessAndQuality || activeParticipation/involvement,activeParticipation/involvement,I will discontinue asap,HealthCareAccessAndQuality,I will fall asleep,0.6059
Appreciation/Gratitude || statePreferences,statePreferences,Phone visit would be great,Appreciation/Gratitude,would be greatly appreciated,0.6278
Clinical Care || Clinical care,Clinical Care,at your follow up appointment,Clinical care,I had a follow up appointment,0.8236
Clinical Care || Clinical care,Clinical Care,at your follow up appointment,Clinical care,appointment to follow up,0.626
EconomicStability || connection,connection,Have a good day,EconomicStability,doesn't have good reception,0.6859
expressOpinions || statePreferences,statePreferences,would like this updated,expressOpinions,I would like,0.7221
activeParticipation/involvement || maintainCommunication,maintainCommunication,I was writing to remind you,activeParticipation/involvement,I am writing,0.6379
activeParticipation/involvement || maintainCommunication,maintainCommunication,This is just a reminder,activeParticipation/involvement,I just saw this,0.6386
