label,count
Clinical care,402
activeParticipation/involvement,239
HealthCareAccessAndQuality,165
EconomicStability,112
expressOpinions,69
signoff,65
salutation,54
NeighborhoodAndBuiltEnvironment,35
Appreciation/Gratitude,34
Clinical Care,34
SeekingApproval,33
SocialAndCommunityContext,28
statePreferences,25
connection,14
ExploreOptions,14
build trust,13
maintainCommunication,13
inviteCollabration,8
alignment,8
checkingUnderstanding/clarification,7
requestsForOpinion,4
EducationAccessAndQuality,4
ShareOptions,4
ApprovalofDecision/Reinforcement,2
MakeDecision,2
Approval/Reinforcement,1
