label_A,label_B,count,avg_similarity,n_A,n_B,ratio_A=count/n_A,ratio_B=count/n_B
PATIENT_PARTNERSHIP,PROVIDER_PARTNERSHIP,1690,0.95,789,464,2.142,3.6422
Information-Giving,PATIENT_PARTNERSHIP,292,0.6588,887,789,0.3292,0.3701
Information-Giving,Information-Seeking,201,0.6557,887,148,0.2266,1.3581
Information-Giving,PROVIDER_PARTNERSHIP,155,0.6591,887,464,0.1747,0.3341
Information-Giving,Information-Giving_SDOH,149,0.651,887,106,0.168,1.4057
Information-Seeking,PATIENT_PARTNERSHIP,114,0.6655,148,789,0.7703,0.1445
Information-Giving,PROVIDER_Shared-Decision_Making,69,0.6622,887,57,0.0778,1.2105
Information-Giving,Socioemotional_/_Empathy,59,0.6627,887,71,0.0665,0.831
PATIENT_PARTNERSHIP,Socioemotional_/_Empathy,55,0.6632,789,71,0.0697,0.7746
PROVIDER_PARTNERSHIP,Socioemotional_/_Empathy,51,0.7181,464,71,0.1099,0.7183
Information-Giving,PATIENT_SHARED-DECISION_MAKING,32,0.6124,887,54,0.0361,0.5926
PROVIDER_PARTNERSHIP,PROVIDER_Shared-Decision_Making,30,0.7439,464,57,0.0647,0.5263
Information-Giving_SDOH,PATIENT_PARTNERSHIP,26,0.6105,106,789,0.2453,0.033
Information-Giving_SDOH,Information-Seeking,19,0.6513,106,148,0.1792,0.1284
Information-Giving_SDOH,Information-Seeking_SDOH,18,0.6506,106,26,0.1698,0.6923
Information-Giving,Information-Seeking_SDOH,18,0.6374,887,26,0.0203,0.6923
PATIENT_SHARED-DECISION_MAKING,PROVIDER_PARTNERSHIP,16,0.6723,54,464,0.2963,0.0345
PATIENT_PARTNERSHIP,PROVIDER_Shared-Decision_Making,16,0.7262,789,57,0.0203,0.2807
PATIENT_PARTNERSHIP,PATIENT_SHARED-DECISION_MAKING,14,0.6336,789,54,0.0177,0.2593
Information-Seeking,PROVIDER_PARTNERSHIP,13,0.6386,148,464,0.0878,0.028
Information-Seeking,Socioemotional_/_Empathy,12,0.6503,148,71,0.0811,0.169
Information-Giving_SDOH,PROVIDER_PARTNERSHIP,10,0.6926,106,464,0.0943,0.0216
Information-Seeking,PATIENT_SHARED-DECISION_MAKING,8,0.6238,148,54,0.0541,0.1481
PATIENT_SHARED-DECISION_MAKING,Socioemotional_/_Empathy,8,0.7455,54,71,0.1481,0.1127
Information-Giving_SDOH,PATIENT_SHARED-DECISION_MAKING,7,0.6157,106,54,0.066,0.1296
PROVIDER_Shared-Decision_Making,Socioemotional_/_Empathy,7,0.5777,57,71,0.1228,0.0986
Information-Seeking,PROVIDER_Shared-Decision_Making,6,0.7126,148,57,0.0405,0.1053
Information-Seeking_SDOH,PATIENT_PARTNERSHIP,6,0.5988,26,789,0.2308,0.0076
Information-Giving_SDOH,PROVIDER_Shared-Decision_Making,4,0.6304,106,57,0.0377,0.0702
PATIENT_SHARED-DECISION_MAKING,PROVIDER_Shared-Decision_Making,3,0.6463,54,57,0.0556,0.0526
Information-Seeking_SDOH,PROVIDER_PARTNERSHIP,2,0.6419,26,464,0.0769,0.0043
Information-Seeking,Information-Seeking_SDOH,2,0.6526,148,26,0.0135,0.0769
Information-Giving_SDOH,Socioemotional_/_Empathy,2,0.6289,106,71,0.0189,0.0282
