label_A,label_B,count,avg_similarity,n_A,n_B,ratio_A=count/n_A,ratio_B=count/n_B
PATIENT_PARTNERSHIP||salutation,PROVIDER_PARTNERSHIP||salutation,722,0.9985,179,154,4.0335,4.6883
PATIENT_PARTNERSHIP||Appreciation/gratitude,PATIENT_PARTNERSHIP||signoff,328,0.9823,99,156,3.3131,2.1026
PATIENT_PARTNERSHIP||signoff,PROVIDER_PARTNERSHIP||signoff,326,0.9903,156,93,2.0897,3.5054
PATIENT_PARTNERSHIP||Appreciation/gratitude,PROVIDER_PARTNERSHIP||signoff,111,0.9954,99,93,1.1212,1.1935
PATIENT_PARTNERSHIP||Alignment,PROVIDER_PARTNERSHIP||Alignment,109,0.9714,47,41,2.3191,2.6585
PATIENT_PARTNERSHIP||Appreciation/gratitude,PROVIDER_PARTNERSHIP||Appreciation/gratitude,84,0.8166,99,22,0.8485,3.8182
PATIENT_PARTNERSHIP||Connection,PROVIDER_PARTNERSHIP||Connection,83,0.7621,60,45,1.3833,1.8444
PATIENT_PARTNERSHIP||signoff,PROVIDER_PARTNERSHIP||Appreciation/gratitude,80,0.9871,156,22,0.5128,3.6364
PATIENT_PARTNERSHIP||active_participation_/involvement,PROVIDER_PARTNERSHIP||Maintain_communication,64,0.7329,146,74,0.4384,0.8649
Information-Giving||Diagnostics,Information-Giving||Drugs,58,0.6394,159,141,0.3648,0.4113
Information-Giving||Care_Coordination,Information-Giving||Scheduling_appt,48,0.6262,168,120,0.2857,0.4
Information-Giving||Diagnostics,Information-Giving||General_information,42,0.6731,159,145,0.2642,0.2897
Information-Giving||Drugs,Information-Giving||General_information,41,0.6419,141,145,0.2908,0.2828
Information-Giving||General_information,Information-Giving||Symptoms,40,0.6268,145,104,0.2759,0.3846
Information-Giving||Scheduling_appt,Information-Seeking||Scheduling_appt,40,0.6525,120,33,0.3333,1.2121
Information-Giving||Care_Coordination,Information-Giving||Drugs,39,0.6393,168,141,0.2321,0.2766
Information-Seeking||Diagnostics,PATIENT_PARTNERSHIP||active_participation_/involvement,39,0.7127,46,146,0.8478,0.2671
Information-Giving||General_information,PATIENT_PARTNERSHIP||active_participation_/involvement,38,0.6991,145,146,0.2621,0.2603
PROVIDER_PARTNERSHIP||Appreciation/gratitude,PROVIDER_PARTNERSHIP||signoff,33,0.9729,22,93,1.5,0.3548
Information-Giving||Care_Coordination,Information-Giving||General_information,33,0.6416,168,145,0.1964,0.2276
Information-Giving||General_information,Information-Giving||Scheduling_appt,31,0.6486,145,120,0.2138,0.2583
Information-Giving||Diagnostics,Information-Giving||Scheduling_appt,31,0.6361,159,120,0.195,0.2583
Information-Giving||Drugs,Information-Seeking||Drugs,29,0.6799,141,33,0.2057,0.8788
