anchor_text,anchor_label,neighbor_text,neighbor_label,similarity
He definitely needs/,Scheduling_appt,He definitely looks puffier to me leg swelling some,Symptoms,0.7681307044106175
He definitely needs/,Scheduling_appt,he vomiting with dry heaves,Symptoms,0.6047760554727766
He definitely needs/,Scheduling_appt,He prescribed me Ketorolac (Toradol),Drugs,0.5604169529690467
In person or telemed?,invite_collaboration,We can either schedule for in person or via telehealth,Share_options,0.8247084349988897
In person or telemed?,invite_collaboration,Glad I saw you in person and clarify treatment,Alignment,0.7067156787659941
In person or telemed?,invite_collaboration,I'd love to see you in person,Connection,0.6474504946297064
In person or telemed?,invite_collaboration,Your appointment is scheduled for in person,Scheduling_appt,0.6066086995449788
be happy to,Connection,If not our manager is Gean Brown and she'd be happy to assist,Care_Coordination,0.712578162234185
be happy to,Connection,I was happy,Alignment,0.6458970383851764
be happy to,Connection,I was happy,Alignment,0.6458970383851764
if you need help,Connection,Help!,active_participation_/involvement,0.5660999682606163
We need to make an office visit,Health_care_access_and_quality,Do I need to make an appointment,Scheduling_appt,0.7533059043795038
We need to make an office visit,Health_care_access_and_quality,Or no need for an office visit?,Explore_options,0.6334205849627007
Thank you,signoff,Thank you,Appreciation/gratitude,0.9999999999999998
Thank you,signoff,thank you,Appreciation/gratitude,0.9999999999999998
Please send to,instruction,can you please send a picture through mychart?,invite_collaboration,0.6631720008728366
Please send to,instruction,"Could you please send the pet scan report to Person1 , doctor Person2 assistant",Care_Coordination,0.5772193783459467
Please send to,instruction,please have them send it to us at,Care_Coordination,0.5670389246538088
this was faxed,Care_Coordination,This was either Dec. or Jan,Diagnostics,0.7854871508067237
this was faxed,Care_Coordination,this was trending down.,Diagnostics,0.7542115216570809
this was faxed,Care_Coordination,to see that this was trending down,Diagnostics,0.6376006079256578
Take care,Connection,Take care,signoff,1.0000000000000002
Take care,Connection,Take care,signoff,1.0000000000000002
Take care,Connection,Take care,signoff,1.0000000000000002
sent an order for a new PET scan,Health_care_access_and_quality,I also think she put in an order for an ECHO,Diagnostics,0.5580609572280655
it is a-okay for Person2 to have it done,Approval/Reinforcement,considering how difficult it is for Person2 to travel,Neighborhood_and_built_environment,0.6712125213407162
considering how difficult it is for Person2 to travel,Neighborhood_and_built_environment,it is a-okay for Person2 to have it done,Approval/Reinforcement,0.6712125213407162
considering how difficult it is for Person2 to travel,Neighborhood_and_built_environment,Here it is,General_information,0.6138604617176129
considering how difficult it is for Person2 to travel,Neighborhood_and_built_environment,it is elevated,Diagnostics,0.5711439637048018
many thanks,signoff,Many thanks!,Appreciation/gratitude,1.0000000000000004
This should ok,Approval/Reinforcement,Ok,Alignment,0.6988840429102259
This should ok,Approval/Reinforcement,Ok,Alignment,0.6988840429102259
This should ok,Approval/Reinforcement,OK,Alignment,0.6988840429102259
This should ok,Approval/Reinforcement,Ok,Alignment,0.6988840429102259
This should ok,Approval/Reinforcement,Ok,Alignment,0.6988840429102259
please call,General_information,Please expedite,state_preferences,0.6458059301366992
please call,General_information,Can she call me please,active_participation_/involvement,0.5759094698725573
please call,General_information,Please call it into Org1 in Location,Health_care_access_and_quality,0.554900318512826
let them know that you have a prescription for a PET scan,Scheduling_appt,I see that you have a prescription for Ativan,Drugs,0.77712821501378
let them know that you have a prescription for a PET scan,Scheduling_appt,I have a prescription for trazodone from Org2 oncology,Drugs,0.6111565132775796
had an appt w,Scheduling_appt,He just had an Ocrevus infusion,Drugs,0.6287286591218185
he would order blood tests,Diagnostics,he would take over this RX,Drugs,0.5672132411609436
Thank you,Appreciation/gratitude,Thank you,signoff,0.9999999999999998
