anchor_text,anchor_label,neighbor_text,neighbor_label,similarity,method,level,pair_key,example_hash
Hi there,PROVIDER_PARTNERSHIP,Hi,PATIENT_PARTNERSHIP,0.6449195559169048,lsa,code,PROVIDER_PARTNERSHIP :: PATIENT_PARTNERSHIP,54e77e41aaa7e0fa7f752aa3eb69ea6ff0f77255
Hi there,PROVIDER_PARTNERSHIP,Hi,PATIENT_PARTNERSHIP,0.6449195559169048,lsa,code,PROVIDER_PARTNERSHIP :: PATIENT_PARTNERSHIP,54e77e41aaa7e0fa7f752aa3eb69ea6ff0f77255
Hi there,PROVIDER_PARTNERSHIP,Hi,PATIENT_PARTNERSHIP,0.6449195559169048,lsa,code,PROVIDER_PARTNERSHIP :: PATIENT_PARTNERSHIP,54e77e41aaa7e0fa7f752aa3eb69ea6ff0f77255
In person or telemed?,PROVIDER_PARTNERSHIP,We can either schedule for in person or via telehealth,PROVIDER_Shared-Decision_Making,0.8247084349988897,lsa,code,PROVIDER_PARTNERSHIP :: PROVIDER_Shared-Decision_Making,19435c535f5bea3ed00dad3fc217f7214db5bf4e
In person or telemed?,PROVIDER_PARTNERSHIP,Your appointment is scheduled for in person,Information-Giving,0.6066086995449788,lsa,code,PROVIDER_PARTNERSHIP :: Information-Giving,bc15aaa00cbfe96bf715c82d57088acb66ac2f4d
be happy to,PROVIDER_PARTNERSHIP,Happy Holidays,PATIENT_PARTNERSHIP,0.7938108379821986,lsa,code,PROVIDER_PARTNERSHIP :: PATIENT_PARTNERSHIP,b37a6c55403211b5991303e57874a1a6ba68f19b
be happy to,PROVIDER_PARTNERSHIP,If not our manager is Gean Brown and she'd be happy to assist,Information-Giving,0.712578162234185,lsa,code,PROVIDER_PARTNERSHIP :: Information-Giving,eb8d8abee8aa11ce478656c30920e141db7e2026
if you need help,PROVIDER_PARTNERSHIP,Help!,PATIENT_PARTNERSHIP,0.5660999682606163,lsa,code,PROVIDER_PARTNERSHIP :: PATIENT_PARTNERSHIP,5aa089e4c3ab8ff2118dfbaa3b2a9de9f5c3b459
We need to make an office visit,Information-Giving_SDOH,Do I need to make an appointment,Information-Seeking,0.7533059043795038,lsa,code,Information-Giving_SDOH :: Information-Seeking,8c835a4bd1fb537cd84b1f1b87ac2bf35c40fc44
We need to make an office visit,Information-Giving_SDOH,Or no need for an office visit?,PATIENT_SHARED-DECISION_MAKING,0.6334205849627007,lsa,code,Information-Giving_SDOH :: PATIENT_SHARED-DECISION_MAKING,d717fadb7dbb32c2cb52919fc12402de08af1f55
Thank you,PROVIDER_PARTNERSHIP,Thank you,PATIENT_PARTNERSHIP,0.9999999999999998,lsa,code,PROVIDER_PARTNERSHIP :: PATIENT_PARTNERSHIP,a5cb68f1fdc3f26ed6d0637226de86854893c897
Thank you,PROVIDER_PARTNERSHIP,thank you,PATIENT_PARTNERSHIP,0.9999999999999998,lsa,code,PROVIDER_PARTNERSHIP :: PATIENT_PARTNERSHIP,146c570936b7543eac0300883df2288dd74a6d34
Thank you,PROVIDER_PARTNERSHIP,Thank you,PATIENT_PARTNERSHIP,0.9999999999999998,lsa,code,PROVIDER_PARTNERSHIP :: PATIENT_PARTNERSHIP,a5cb68f1fdc3f26ed6d0637226de86854893c897
Thank you,PROVIDER_PARTNERSHIP,thank you,PATIENT_PARTNERSHIP,0.9999999999999998,lsa,code,PROVIDER_PARTNERSHIP :: PATIENT_PARTNERSHIP,146c570936b7543eac0300883df2288dd74a6d34
Greetings,PROVIDER_PARTNERSHIP,Greetings,PATIENT_PARTNERSHIP,1.0,lsa,code,PROVIDER_PARTNERSHIP :: PATIENT_PARTNERSHIP,e350034f3505f448aa106036345dd088163859a8
Please send to,Information-Giving,can you please send a picture through mychart?,PROVIDER_PARTNERSHIP,0.6631720008728366,lsa,code,Information-Giving :: PROVIDER_PARTNERSHIP,84a682db27faf003a7ef09ae560ac86bef43a289
Take care,PROVIDER_PARTNERSHIP,Take care,PATIENT_PARTNERSHIP,1.0000000000000002,lsa,code,PROVIDER_PARTNERSHIP :: PATIENT_PARTNERSHIP,d71de9d5d2c7dd91ad1bcb40c3d421d4eb0a37d2
sent an order for a new PET scan,Information-Giving_SDOH,I also think she put in an order for an ECHO,Information-Giving,0.5580609572280655,lsa,code,Information-Giving_SDOH :: Information-Giving,b46484259d31a74ef7ca47b047eaa087687f0523
it is a-okay for Person2 to have it done,PATIENT_SHARED-DECISION_MAKING,considering how difficult it is for Person2 to travel,Information-Giving_SDOH,0.6712125213407162,lsa,code,PATIENT_SHARED-DECISION_MAKING :: Information-Giving_SDOH,a5e175b60e3ec0b3acc46ef24ca5028674b457d0
considering how difficult it is for Person2 to travel,Information-Giving_SDOH,it is a-okay for Person2 to have it done,PATIENT_SHARED-DECISION_MAKING,0.6712125213407162,lsa,code,Information-Giving_SDOH :: PATIENT_SHARED-DECISION_MAKING,18a7043928a1967b565a94c13e01999783636726
