anchor_text,anchor_label,neighbor_text,neighbor_label,similarity,method,level,pair_key,example_hash
rec'd a notice MM/DD/YYYY,Information-Giving,I put you off work from MM/DD/YYYY to MM/DD/YYYY,Information-Giving_SDOH,0.8517557803527385,lsa,code,Information-Giving :: Information-Giving_SDOH,83c1bf887e57cd3571a081158a3bca5781a319b0
"Trying to keep Oxy steady at MM/DD/YYYY, but MM/DD/YYYY had to go MM/DD/YYYY",Information-Giving,I put you off work from MM/DD/YYYY to MM/DD/YYYY,Information-Giving_SDOH,0.7689408341076132,lsa,code,Information-Giving :: Information-Giving_SDOH,aad660ccd12b2c1afcac23a5fd920b56ba0107c3
I see Dr  Person1 on,Information-Giving,"I scheduled to see Dr. Person1 on MM/DD/YYYY, at 9:45 in Org2",Information-Giving_SDOH,0.6609467068856226,lsa,code,Information-Giving :: Information-Giving_SDOH,d9a28c40c64978c6b0454d35c0a0898ebe06cb52
please call,Information-Giving,Please call it into Org1 in Location,Information-Giving_SDOH,0.554900318512826,lsa,code,Information-Giving :: Information-Giving_SDOH,810535f80cb8c8f30b6db543dd8635f4817f67cc
"Yep, just got a call for MM/DD/YYYY w",Information-Giving,"I saw I still had the appointment in Org2 for MM/DD/YYYY, MM/DD/YYYY, for the Lupron shot, I cancelled it",Information-Giving_SDOH,0.5525830769463107,lsa,code,Information-Giving :: Information-Giving_SDOH,03cd9f7fa28576b92169412a69720ddbf6532dab
I see Dr  Person1 on,Information-Giving,I seeing Dr Person1 at 1pm at Org3 on MM/DD/YYYY,Information-Giving_SDOH,0.7361419796943665,sbert,code,Information-Giving :: Information-Giving_SDOH,2af36d570e0a4ef3defbc3b1142d477c5410ac4b
Usually it takes the pharmacy MM/DD/YYYY to call me regarding delivery of my meds,Information-Giving,so you should just be able to call the pharmacy or request via phone,Information-Giving_SDOH,0.7124316692352295,sbert,code,Information-Giving :: Information-Giving_SDOH,dcbe265f0d0ed3b9994c77852490bece1807fc10
can do same day delivery if needed,Information-Giving,"They can set up delivery to you, it  would need to be a few days in advance",Information-Giving_SDOH,0.6715413928031921,sbert,code,Information-Giving :: Information-Giving_SDOH,f2fa2109f0b2dc05d466a8da1503e23fa3669fcc
"Trying to keep Oxy steady at MM/DD/YYYY, but MM/DD/YYYY had to go MM/DD/YYYY",Information-Giving,I put you off work from MM/DD/YYYY to MM/DD/YYYY,Information-Giving_SDOH,0.6596776247024536,sbert,code,Information-Giving :: Information-Giving_SDOH,aad660ccd12b2c1afcac23a5fd920b56ba0107c3
I was just looking at my calendar and realized my next appt,Information-Giving,Unfortunately I worked last night and came home this morning and fell asleep causing me to miss my appt today,Information-Giving_SDOH,0.5802661180496216,sbert,code,Information-Giving :: Information-Giving_SDOH,6cfdfb54d152af95e4c9fab3e645214295ba8a12
"I hope so because I feel great; sleeping well, eating (too) well",Information-Giving,i Eating and sleeping well,Information-Giving_SDOH,0.6585068765308256,tfidf,code,Information-Giving :: Information-Giving_SDOH,244e9bac9f334316275cb255cf7cf12c6bbace2a
"I hope so because I feel great; sleeping well, eating (too) well",Information-Giving,Sleeping well,Information-Giving_SDOH,0.5987080708637997,tfidf,code,Information-Giving :: Information-Giving_SDOH,46f5a94328b63dbc1d954dbc30b34e04c9318e96
rec'd a notice MM/DD/YYYY,Information-Giving,Can I change this to MM/DD/YYYY or MM/DD/YYYY ?,Information-Seeking,0.8553043134679954,lsa,code,Information-Giving :: Information-Seeking,cb8a4a0a2520bb1f090323f126c375e9976f1a38
I had my MM/DD/YYYY bloodwork done MM/DD/YYYY,Information-Giving,Can i change my MM/DD/YYYY appointment to the MM/DD/YYYY,Information-Seeking,0.7866480166637333,lsa,code,Information-Giving :: Information-Seeking,da2ff066ad34132644bfd69df48e3a7b26af884f
"Trying to keep Oxy steady at MM/DD/YYYY, but MM/DD/YYYY had to go MM/DD/YYYY",Information-Giving,Can I change this to MM/DD/YYYY or MM/DD/YYYY ?,Information-Seeking,0.7845784955978854,lsa,code,Information-Giving :: Information-Seeking,3705e3cb956aa40ab817d0da4eede2461aafa16a
Person1 has MM/DD/YYYY,Information-Giving,Can I change this to MM/DD/YYYY or MM/DD/YYYY ?,Information-Seeking,0.6790633380214315,lsa,code,Information-Giving :: Information-Seeking,1fff5a33eee61d821bcc17fb294ca1b33fdb5150
when I went to get blood work,Information-Giving,Do you usually get blood work before restarting?,Information-Seeking,0.6579572087153707,lsa,code,Information-Giving :: Information-Seeking,1773cfe0d23d63aa8db922a5528de3f607f1997a
That is MM/DD/YYYY I'm supposed to start my next round of Ibrance??,Information-Giving,When do I begin Ibrance again?,Information-Seeking,0.6988826394081116,sbert,code,Information-Giving :: Information-Seeking,a19a99b16c43dd55d801aca2d4063e146e76968e
let them know that you have a prescription for a PET scan,Information-Giving,Do you know the reasoning you had this PET scan does and which doctor ordered it?,Information-Seeking,0.6753873825073242,sbert,code,Information-Giving :: Information-Seeking,e05b6aa1ac069e82261c6139c4f8effd1d99156a
"Trying to keep Oxy steady at MM/DD/YYYY, but MM/DD/YYYY had to go MM/DD/YYYY",Information-Giving,Can I change this to MM/DD/YYYY or MM/DD/YYYY ?,Information-Seeking,0.6749117374420166,sbert,code,Information-Giving :: Information-Seeking,3705e3cb956aa40ab817d0da4eede2461aafa16a
The CBC was done with a manual diff,Information-Giving,Cbc was left out?,Information-Seeking,0.6690523624420166,sbert,code,Information-Giving :: Information-Seeking,4bd51a3408c111409905d4cbd284accb0400f8c2
Eliquis 5mg; current Rx will run out,Information-Giving,how is he taking the Eliquis:  5mg a day or twice a day,Information-Seeking,0.6622751355171204,sbert,code,Information-Giving :: Information-Seeking,9625afc4333f97059eb423f1999f2e239451db6e
I will ask our Clinical Secretary to schedule this,Information-Giving,There is an order would you like our Clinical Secretary to schedule?,Information-Seeking,0.5825965823792847,tfidf,code,Information-Giving :: Information-Seeking,97656374b01041367e35453cadd56ac136faae2e
because of the prednisone,Information-Giving,is this because of the taxol?,Information-Seeking,0.5739844887277527,tfidf,code,Information-Giving :: Information-Seeking,576df0c32722d5a6d5e630359825958ae1ce86e0
I see Dr  Person1 on,Information-Giving,Do i need blood work before I see dr Person1 on MM/DD/YYYY?,Information-Seeking,0.5676394118884264,tfidf,code,Information-Giving :: Information-Seeking,b988f26dc6a3c38633b566af5a76ad8c8cba67d2
I had my MM/DD/YYYY bloodwork done MM/DD/YYYY,Information-Giving,Can i change my MM/DD/YYYY appointment to the MM/DD/YYYY,Information-Seeking,0.5555609131926138,tfidf,code,Information-Giving :: Information-Seeking,da2ff066ad34132644bfd69df48e3a7b26af884f
take care of these prescriptions,Information-Giving,Take care,PATIENT_PARTNERSHIP,0.90105225724013,lsa,code,Information-Giving :: PATIENT_PARTNERSHIP,5bdafc2fcb0bd676729b017197114c5906e3eceb
rec'd a notice MM/DD/YYYY,Information-Giving,MM/DD/YYYY after 230pm,PATIENT_PARTNERSHIP,0.8963216475069533,lsa,code,Information-Giving :: PATIENT_PARTNERSHIP,3c51457cbbac0faa28708c8db728a6180e435464
"Trying to keep Oxy steady at MM/DD/YYYY, but MM/DD/YYYY had to go MM/DD/YYYY",Information-Giving,MM/DD/YYYY after 230pm,PATIENT_PARTNERSHIP,0.8027291882685473,lsa,code,Information-Giving :: PATIENT_PARTNERSHIP,1bbd19781568ec3642fe1b276904df5824e0aa0e
I had my MM/DD/YYYY bloodwork done MM/DD/YYYY,Information-Giving,MM/DD/YYYY after 230pm,PATIENT_PARTNERSHIP,0.79558593303854,lsa,code,Information-Giving :: PATIENT_PARTNERSHIP,0eafcb9447dad098072f09a3110efb25e12d4b62
Person1 has MM/DD/YYYY,Information-Giving,MM/DD/YYYY after 230pm,PATIENT_PARTNERSHIP,0.7097437917619335,lsa,code,Information-Giving :: PATIENT_PARTNERSHIP,aa2d2262e11aaf2260ef99cfd3626311ec181561
