label,avg_rate_lsa,n_items_lsa,avg_rate_sbert,n_items_sbert,avg_rate_tfidf,n_items_tfidf,best_method,best_rate
Information-Giving_SDOH||Economic_stability,0.5833333333333334,18,0.5148148148148147,18,0.0555555555555555,18,lsa,0.5833333333333334
Information-Giving_SDOH||Health_care_access_and_quality,0.5051440329218106,81,0.5683127572016461,81,0.0720164609053497,81,sbert,0.5683127572016461
Information-Giving_SDOH||Neighborhood_and_built_environment,0.7142857142857143,7,0.2857142857142857,7,0.0,7,lsa,0.7142857142857143
Information-Giving||Care_Coordination,0.3258928571428571,168,0.4803571428571428,168,0.0714285714285714,168,sbert,0.4803571428571428
Information-Giving||Diagnostics,0.4455974842767295,159,0.4287211740041928,159,0.0628930817610062,159,lsa,0.4455974842767295
Information-Giving||Drugs,0.5222222222222221,141,0.4612293144208038,141,0.0744680851063829,141,lsa,0.5222222222222221
Information-Giving||General_information,0.4864367816091954,145,0.4354022988505747,145,0.0896551724137931,145,lsa,0.4864367816091954
Information-Giving||Prognosis,0.5,6,0.8194444444444443,6,0.1666666666666666,6,sbert,0.8194444444444443
Information-Giving||Scheduling_appt,0.4902777777777777,120,0.5259722222222222,120,0.095,120,sbert,0.5259722222222222
Information-Giving||Symptoms,0.419551282051282,104,0.2850961538461539,104,0.0817307692307692,104,lsa,0.419551282051282
Information-Giving||instruction,0.375,44,0.6454545454545454,44,0.0681818181818181,44,sbert,0.6454545454545454
Information-Seeking_SDOH||Economic_stability,0.5714285714285714,7,0.5714285714285714,7,0.0,7,lsa,0.5714285714285714
Information-Seeking_SDOH||Health_care_access_and_quality,0.4210526315789473,19,0.7368421052631579,19,0.0526315789473684,19,sbert,0.7368421052631579
Information-Seeking||Care_Coordination,0.5,8,0.875,8,0.125,8,sbert,0.875
Information-Seeking||Diagnostics,0.5695652173913043,46,0.6554347826086957,46,0.1652173913043478,46,sbert,0.6554347826086957
Information-Seeking||Drugs,0.5494949494949495,33,0.6212121212121212,33,0.1818181818181818,33,sbert,0.6212121212121212
Information-Seeking||General_information,0.5,17,0.7529411764705882,17,0.0588235294117647,17,sbert,0.7529411764705882
Information-Seeking||Scheduling_appt,0.6727272727272727,33,0.609090909090909,33,0.106060606060606,33,lsa,0.6727272727272727
Information-Seeking||Symptoms,0.6363636363636364,11,0.6515151515151515,11,0.1818181818181818,11,sbert,0.6515151515151515
PATIENT_PARTNERSHIP||Alignment,0.4326241134751774,47,0.4397163120567376,47,0.4879432624113476,47,tfidf,0.4879432624113476
PATIENT_PARTNERSHIP||Appreciation/gratitude,0.6471380471380471,99,0.6338383838383839,99,0.5651515151515152,99,lsa,0.6471380471380471
PATIENT_PARTNERSHIP||Connection,0.61,60,0.445,60,0.4097222222222222,60,lsa,0.61
PATIENT_PARTNERSHIP||active_participation_/involvement,0.4867579908675798,146,0.6639269406392694,146,0.1476027397260274,146,sbert,0.6639269406392694
PATIENT_PARTNERSHIP||build_trust,0.2,5,0.6,5,0.2,5,sbert,0.6
PATIENT_PARTNERSHIP||express_opinions,0.4807692307692308,52,0.5830128205128206,52,0.0961538461538461,52,sbert,0.5830128205128206
PATIENT_PARTNERSHIP||salutation,0.6446927374301676,179,0.6681564245810057,179,0.3553072625698324,179,sbert,0.6681564245810057
PATIENT_PARTNERSHIP||signoff,0.4589743589743589,156,0.5282051282051282,156,0.5051282051282051,156,sbert,0.5282051282051282
PATIENT_PARTNERSHIP||state_preferences,0.4674074074074074,45,0.6148148148148148,45,0.0666666666666666,45,sbert,0.6148148148148148
PATIENT_SHARED-DECISION_MAKING||Approval/Reinforcement,0.8571428571428571,7,0.5714285714285714,7,0.2857142857142857,7,lsa,0.8571428571428571
PATIENT_SHARED-DECISION_MAKING||Explore_options,0.2777777777777778,18,0.7777777777777778,18,0.0555555555555555,18,sbert,0.7777777777777778
PATIENT_SHARED-DECISION_MAKING||Seeking_Approval,0.4040229885057471,29,0.743103448275862,29,0.0862068965517241,29,sbert,0.743103448275862
PROVIDER_PARTNERSHIP||Alignment,0.6995934959349593,41,0.456910569105691,41,0.3934959349593496,41,lsa,0.6995934959349593
PROVIDER_PARTNERSHIP||Appreciation/gratitude,0.8977272727272729,22,0.7696969696969697,22,0.8454545454545456,22,lsa,0.8977272727272729
PROVIDER_PARTNERSHIP||Connection,0.6844444444444445,45,0.6111111111111112,45,0.5948148148148149,45,lsa,0.6844444444444445
PROVIDER_PARTNERSHIP||Maintain_communication,0.4466216216216215,74,0.5421171171171171,74,0.202027027027027,74,sbert,0.5421171171171171
PROVIDER_PARTNERSHIP||build_trust,1.0,4,0.0,4,0.25,4,lsa,1.0
PROVIDER_PARTNERSHIP||checking_understanding/clarification,0.15,20,0.7233333333333334,20,0.05,20,sbert,0.7233333333333334
PROVIDER_PARTNERSHIP||invite_collaboration,0.6181818181818182,11,0.7272727272727273,11,0.1818181818181818,11,sbert,0.7272727272727273
PROVIDER_PARTNERSHIP||salutation,0.2324675324675324,154,0.2545454545454546,154,0.6636363636363636,154,tfidf,0.6636363636363636
PROVIDER_PARTNERSHIP||signoff,0.5580645161290322,93,0.4666666666666667,93,0.5412186379928315,93,lsa,0.5580645161290322
PROVIDER_Shared-Decision_Making||Approval/Reinforcement,0.6296296296296295,18,0.6555555555555556,18,0.1666666666666666,18,sbert,0.6555555555555556
PROVIDER_Shared-Decision_Making||Encourage_questions,1.0,2,1.0,2,1.0,2,lsa,1.0
PROVIDER_Shared-Decision_Making||Making_decision_together,0.4615384615384615,13,0.6153846153846154,13,0.0769230769230769,13,sbert,0.6153846153846154
PROVIDER_Shared-Decision_Making||Share_options,0.3823529411764705,17,0.7254901960784313,17,0.0294117647058823,17,sbert,0.7254901960784313
PROVIDER_Shared-Decision_Making||Summarize_and_confirm_understanding,0.0714285714285714,7,0.3523809523809524,7,0.0,7,sbert,0.3523809523809524
Socioemotional_/_Empathy||Acknowledge_Error,0.6635416666666667,16,0.3166666666666666,16,0.1979166666666666,16,lsa,0.6635416666666667
Socioemotional_/_Empathy||Express_concern/unease,0.6266666666666666,25,0.4453333333333333,25,0.08,25,lsa,0.6266666666666666
Socioemotional_/_Empathy||Positive_Remarks/Reward,0.8333333333333334,6,0.4111111111111111,6,0.5,6,lsa,0.8333333333333334
Socioemotional_/_Empathy||Reassurance,0.6904761904761905,14,0.6904761904761905,14,0.2857142857142857,14,lsa,0.6904761904761905
Socioemotional_/_Empathy||Sadness/fear,0.24,10,0.3716666666666666,10,0.1333333333333333,10,sbert,0.3716666666666666
