pair_key,lsa,sbert,tdidf,total_all_methods
Acknowledge_Error :: Connection,3,0,1,4
Acknowledge_Error :: Sadness/fear,1,0,1,2
Alignment :: active_participation_/involvement,0,0,2,2
Appreciation/gratitude :: Alignment,0,1,0,1
Appreciation/gratitude :: Connection,0,1,1,2
Appreciation/gratitude :: Drugs,2,0,0,2
Appreciation/gratitude :: Positive_Remarks/Reward,0,0,1,1
Appreciation/gratitude :: signoff,16,16,45,77
Approval/Reinforcement :: Alignment,5,1,5,11
Approval/Reinforcement :: Diagnostics,0,0,1,1
Approval/Reinforcement :: Neighborhood_and_built_environment,1,0,0,1
Approval/Reinforcement :: active_participation_/involvement,0,1,0,1
Care_Coordination :: Diagnostics,3,0,1,4
Care_Coordination :: Drugs,4,1,0,5
Care_Coordination :: General_information,0,2,1,3
Care_Coordination :: Scheduling_appt,0,1,0,1
Care_Coordination :: active_participation_/involvement,0,4,0,4
Care_Coordination :: express_opinions,0,1,0,1
Connection :: Acknowledge_Error,0,1,2,3
Connection :: Alignment,4,2,7,13
Connection :: Appreciation/gratitude,0,0,4,4
Connection :: Care_Coordination,1,0,1,2
Connection :: General_information,0,0,2,2
Connection :: Positive_Remarks/Reward,0,0,1,1
Connection :: Reassurance,1,2,2,5
Connection :: Sadness/fear,2,0,1,3
Connection :: Symptoms,0,0,1,1
Connection :: active_participation_/involvement,1,0,1,2
Connection :: salutation,0,0,2,2
Connection :: signoff,4,6,12,22
Diagnostics :: Approval/Reinforcement,0,0,1,1
Diagnostics :: Care_Coordination,0,3,1,4
Diagnostics :: Connection,0,0,2,2
Diagnostics :: Drugs,2,0,1,3
Diagnostics :: General_information,3,0,1,4
Diagnostics :: Scheduling_appt,1,4,1,6
Diagnostics :: Share_options,0,1,0,1
Diagnostics :: active_participation_/involvement,1,3,12,16
Diagnostics :: express_opinions,0,2,0,2
Diagnostics :: instruction,0,1,0,1
Diagnostics :: state_preferences,1,0,1,2
Drugs :: Alignment,1,1,0,2
Drugs :: Approval/Reinforcement,0,6,0,6
Drugs :: Care_Coordination,3,10,0,13
Drugs :: Connection,3,0,3,6
Drugs :: Diagnostics,5,1,1,7
Drugs :: Economic_stability,1,1,0,2
Drugs :: General_information,5,2,0,7
Drugs :: Health_care_access_and_quality,0,2,0,2
Drugs :: Maintain_communication,1,5,0,6
Drugs :: Scheduling_appt,2,2,0,4
Drugs :: Seeking_Approval,1,4,0,5
Drugs :: Symptoms,3,1,0,4
Drugs :: active_participation_/involvement,1,8,0,9
Drugs :: express_opinions,1,1,0,2
Drugs :: instruction,0,2,0,2
Drugs :: invite_collaboration,0,1,0,1
Drugs :: signoff,3,0,3,6
Drugs :: state_preferences,5,0,1,6
Economic_stability :: Connection,0,0,1,1
Economic_stability :: state_preferences,0,0,1,1
Encourage_questions :: Maintain_communication,5,4,3,12
Encourage_questions :: active_participation_/involvement,0,1,0,1
Express_concern/unease :: Drugs,1,0,0,1
Express_concern/unease :: General_information,1,0,0,1
Express_concern/unease :: Reassurance,0,1,0,1
Express_concern/unease :: Symptoms,0,0,1,1
Express_concern/unease :: active_participation_/involvement,1,0,0,1
General_information :: Acknowledge_Error,0,1,0,1
General_information :: Alignment,1,2,0,3
General_information :: Approval/Reinforcement,0,1,0,1
General_information :: Connection,1,3,2,6
General_information :: Diagnostics,3,0,1,4
General_information :: Drugs,5,0,0,5
General_information :: Economic_stability,1,0,0,1
General_information :: Encourage_questions,0,1,0,1
General_information :: Health_care_access_and_quality,1,1,0,2
General_information :: Scheduling_appt,3,3,1,7
General_information :: Symptoms,1,0,0,1
General_information :: active_participation_/involvement,1,4,1,6
General_information :: build_trust,0,1,0,1
General_information :: instruction,0,3,0,3
General_information :: state_preferences,4,0,0,4
Health_care_access_and_quality :: Care_Coordination,4,3,1,8
Health_care_access_and_quality :: Diagnostics,2,1,0,3
Health_care_access_and_quality :: Drugs,2,1,0,3
Health_care_access_and_quality :: Explore_options,1,1,0,2
Health_care_access_and_quality :: General_information,1,0,0,1
Health_care_access_and_quality :: Maintain_communication,1,0,0,1
Health_care_access_and_quality :: Scheduling_appt,2,2,0,4
Health_care_access_and_quality :: Symptoms,0,0,1,1
Health_care_access_and_quality :: active_participation_/involvement,0,4,0,4
Health_care_access_and_quality :: instruction,0,2,0,2
Maintain_communication :: Encourage_questions,0,1,1,2
Maintain_communication :: active_participation_/involvement,0,0,1,1
Neighborhood_and_built_environment :: Approval/Reinforcement,1,0,0,1
Neighborhood_and_built_environment :: Diagnostics,1,0,0,1
Neighborhood_and_built_environment :: General_information,1,0,0,1
Reassurance :: Approval/Reinforcement,0,0,1,1
Reassurance :: Connection,0,0,1,1
Scheduling_appt :: Alignment,0,3,0,3
Scheduling_appt :: Approval/Reinforcement,0,3,0,3
Scheduling_appt :: Care_Coordination,2,6,0,8
Scheduling_appt :: Connection,1,0,0,1
Scheduling_appt :: Diagnostics,3,4,1,8
Scheduling_appt :: Drugs,5,3,0,8
Scheduling_appt :: Economic_stability,0,2,0,2
Scheduling_appt :: Explore_options,0,1,0,1
Scheduling_appt :: General_information,4,4,0,8
