anchor_text,anchor_label,neighbor_text,neighbor_label,similarity,method,level,pair_key,example_hash
"OOPS , sorry - my typo",Acknowledge_Error,Sorry,Connection,0.8709197205405211,lsa,subcode,Acknowledge_Error :: Connection,de26e64e4029ee4c20b8ea54779a95f4602bd09e
"OOPS , sorry - my typo",Acknowledge_Error,Sorry for the delay!,Connection,0.6154260366085171,lsa,subcode,Acknowledge_Error :: Connection,ff6eb7a2cf654cf061796f42bdf8da9500b9d530
"OOPS , sorry - my typo",Acknowledge_Error,Sorry to bother,Connection,0.6111136586616355,lsa,subcode,Acknowledge_Error :: Connection,f2ef4d219911835aa9ee1946bc06a854ccfb0a50
"OOPS , sorry - my typo",Acknowledge_Error,Sorry,Connection,0.8665291005028808,tdidf,subcode,Acknowledge_Error :: Connection,de26e64e4029ee4c20b8ea54779a95f4602bd09e
"OOPS , sorry - my typo",Acknowledge_Error,I'm sorry,Sadness/fear,0.8709197205405211,lsa,subcode,Acknowledge_Error :: Sadness/fear,928d2c873948af3d66308e4ac268b430f341ab20
"OOPS , sorry - my typo",Acknowledge_Error,I'm sorry,Sadness/fear,0.8665291005028808,tdidf,subcode,Acknowledge_Error :: Sadness/fear,928d2c873948af3d66308e4ac268b430f341ab20
Can you confirm,Alignment,Can you confirm?,active_participation_/involvement,1.0000000000000002,tdidf,subcode,Alignment :: active_participation_/involvement,dc2d868a00057a428f68cdd1bd0891eccaaeb6d0
Can you confirm,Alignment,Could you confirm?,active_participation_/involvement,0.6534997783293763,tdidf,subcode,Alignment :: active_participation_/involvement,4c7b5daa3404b65433e1343915e38160898b150f
Thanks a ton,Appreciation/gratitude,No problem,Alignment,0.5922769904136658,sbert,subcode,Appreciation/gratitude :: Alignment,999403b1d4521258b48ec263bb32358dc895790d
Thanks a ton,Appreciation/gratitude,No problem,Connection,0.5922769904136658,sbert,subcode,Appreciation/gratitude :: Connection,024f92a706d90e69aa60e8793f80b54996b83d87
Thank you for this good news,Appreciation/gratitude,good news,Connection,0.687021012669801,tdidf,subcode,Appreciation/gratitude :: Connection,0d6587f99abda205672caaa4bfd34be9fbb07ad3
Most appreciative!,Appreciation/gratitude,Most people tolerate it fine 3 times per week,Drugs,0.717798569568464,lsa,subcode,Appreciation/gratitude :: Drugs,78c26748e320e7d0dcca9c85354816312fd22399
Most appreciative!,Appreciation/gratitude,A bone strengthening  agent will still most likely be added to your regimen,Drugs,0.5901162383065931,lsa,subcode,Appreciation/gratitude :: Drugs,0d3ff579f0ec35e1dab7e8b20d43abe25f5f1551
Thank you for this good news,Appreciation/gratitude,Good news!,Positive_Remarks/Reward,0.687021012669801,tdidf,subcode,Appreciation/gratitude :: Positive_Remarks/Reward,4d8249a6b49d447a3c25d05c1776a6b2dccf9465
Thank you,Appreciation/gratitude,Thank you,signoff,0.9999999999999998,lsa,subcode,Appreciation/gratitude :: signoff,2646a9063538e026dd8e120c329ebe83355a699e
Thank you,Appreciation/gratitude,Thank you,signoff,0.9999999999999998,lsa,subcode,Appreciation/gratitude :: signoff,2646a9063538e026dd8e120c329ebe83355a699e
Thank you,Appreciation/gratitude,thank you,signoff,0.9999999999999998,lsa,subcode,Appreciation/gratitude :: signoff,b3a730cb25941263e40e770d473e7a79997d9496
Thanks a ton,Appreciation/gratitude,Thanks,signoff,0.9999999999999998,lsa,subcode,Appreciation/gratitude :: signoff,8911a589e08b40e2f54508724fec52745fa5e2c1
Thanks a ton,Appreciation/gratitude,Thanks,signoff,0.9999999999999998,lsa,subcode,Appreciation/gratitude :: signoff,8911a589e08b40e2f54508724fec52745fa5e2c1
Thank you,Appreciation/gratitude,Thank you,signoff,1.0000005960464478,sbert,subcode,Appreciation/gratitude :: signoff,2646a9063538e026dd8e120c329ebe83355a699e
