label,avg_rate_lsa,n_items_lsa,avg_rate_sbert,n_items_sbert,avg_rate_tdidf,n_items_tdidf,best_method,best_rate
Acknowledge_Error,0.6635416666666667,16,0.3166666666666666,16,0.1979166666666666,16,lsa,0.6635416666666667
Alignment,0.299810606060606,88,0.1464015151515151,88,0.1441287878787878,88,lsa,0.299810606060606
Appreciation/gratitude,0.553443526170799,121,0.515702479338843,121,0.5173553719008265,121,lsa,0.553443526170799
Approval/Reinforcement,0.68,25,0.632,25,0.2,25,lsa,0.68
Care_Coordination,0.3300189393939394,176,0.4653409090909091,176,0.0738636363636363,176,sbert,0.4653409090909091
Connection,0.4423809523809524,105,0.316984126984127,105,0.3092063492063492,105,lsa,0.4423809523809524
Diagnostics,0.4169918699186992,205,0.3479674796747967,205,0.0858536585365853,205,lsa,0.4169918699186992
Drugs,0.4477969348659004,174,0.3924329501915709,174,0.0718390804597701,174,lsa,0.4477969348659004
Economic_stability,0.52,25,0.4066666666666666,25,0.04,25,lsa,0.52
Encourage_questions,1.0,2,1.0,2,1.0,2,lsa,1.0
Explore_options,0.2777777777777778,18,0.7777777777777778,18,0.0555555555555555,18,sbert,0.7777777777777778
Express_concern/unease,0.6266666666666666,25,0.4453333333333333,25,0.08,25,lsa,0.6266666666666666
General_information,0.4580246913580246,162,0.4265432098765431,162,0.0771604938271604,162,lsa,0.4580246913580246
Health_care_access_and_quality,0.4165,100,0.5075,100,0.0483333333333333,100,sbert,0.5075
Maintain_communication,0.4466216216216215,74,0.5421171171171171,74,0.202027027027027,74,sbert,0.5421171171171171
Making_decision_together,0.4615384615384615,13,0.6153846153846154,13,0.0769230769230769,13,sbert,0.6153846153846154
Neighborhood_and_built_environment,0.7142857142857143,7,0.2857142857142857,7,0.0,7,lsa,0.7142857142857143
Positive_Remarks/Reward,0.8333333333333334,6,0.4111111111111111,6,0.5,6,lsa,0.8333333333333334
Prognosis,0.5,6,0.8194444444444443,6,0.1666666666666666,6,sbert,0.8194444444444443
Reassurance,0.6904761904761905,14,0.6904761904761905,14,0.2857142857142857,14,lsa,0.6904761904761905
Sadness/fear,0.24,10,0.3716666666666666,10,0.1333333333333333,10,sbert,0.3716666666666666
Scheduling_appt,0.4083877995642702,153,0.4167755991285403,153,0.0745098039215686,153,sbert,0.4167755991285403
Seeking_Approval,0.4040229885057471,29,0.743103448275862,29,0.0862068965517241,29,sbert,0.743103448275862
Share_options,0.3823529411764705,17,0.7254901960784313,17,0.0294117647058823,17,sbert,0.7254901960784313
Summarize_and_confirm_understanding,0.0714285714285714,7,0.3523809523809524,7,0.0,7,sbert,0.3523809523809524
Symptoms,0.3995652173913043,115,0.2555072463768116,115,0.0913043478260869,115,lsa,0.3995652173913043
active_participation_/involvement,0.4867579908675798,146,0.6639269406392694,146,0.1476027397260274,146,sbert,0.6639269406392694
build_trust,0.5555555555555556,9,0.3333333333333333,9,0.2222222222222222,9,lsa,0.5555555555555556
checking_understanding/clarification,0.15,20,0.7233333333333334,20,0.05,20,sbert,0.7233333333333334
express_opinions,0.4807692307692308,52,0.5830128205128206,52,0.0961538461538461,52,sbert,0.5830128205128206
instruction,0.375,44,0.6454545454545454,44,0.0681818181818181,44,sbert,0.6454545454545454
invite_collaboration,0.6181818181818182,11,0.7272727272727273,11,0.1818181818181818,11,sbert,0.7272727272727273
salutation,0.015015015015015,333,0.0108108108108108,333,0.012012012012012,333,lsa,0.015015015015015
signoff,0.2341365461847389,249,0.2064257028112449,249,0.2626506024096385,249,tdidf,0.2626506024096385
state_preferences,0.4674074074074074,45,0.6148148148148148,45,0.0666666666666666,45,sbert,0.6148148148148148
