label,avg_cross_label_rate,n_items
Acknowledge_Error,0.6635416666666667,16
Alignment,0.29981060606060606,88
Appreciation/gratitude,0.553443526170799,121
Approval/Reinforcement,0.68,25
Care_Coordination,0.3300189393939394,176
Connection,0.44238095238095243,105
Diagnostics,0.41699186991869924,205
Drugs,0.4477969348659004,174
Economic_stability,0.52,25
Encourage_questions,1.0,2
Explore_options,0.2777777777777778,18
Express_concern/unease,0.6266666666666666,25
General_information,0.4580246913580246,162
Health_care_access_and_quality,0.4165,100
Maintain_communication,0.44662162162162156,74
Making_decision_together,0.46153846153846156,13
Neighborhood_and_built_environment,0.7142857142857143,7
Positive_Remarks/Reward,0.8333333333333334,6
Prognosis,0.5,6
Reassurance,0.6904761904761905,14
Sadness/fear,0.24000000000000005,10
Scheduling_appt,0.4083877995642702,153
Seeking_Approval,0.4040229885057471,29
Share_options,0.38235294117647056,17
Summarize_and_confirm_understanding,0.07142857142857142,7
Symptoms,0.39956521739130435,115
active_participation_/involvement,0.48675799086757987,146
build_trust,0.5555555555555556,9
checking_understanding/clarification,0.15,20
express_opinions,0.4807692307692308,52
instruction,0.375,44
invite_collaboration,0.6181818181818182,11
salutation,0.015015015015015015,333
signoff,0.23413654618473895,249
state_preferences,0.46740740740740744,45
