anchor_text,anchor_label,neighbor_text,neighbor_label,similarity
Hi there,PROVIDER_PARTNERSHIP,Hi,PATIENT_PARTNERSHIP,0.7954416275024414
In person or telemed?,PROVIDER_PARTNERSHIP,We can either schedule for in person or via telehealth,PROVIDER_Shared-Decision_Making,0.6036554574966431
be happy to,PROVIDER_PARTNERSHIP,Hope this finds you healthy and happy,PATIENT_PARTNERSHIP,0.5671862959861755
We need to make an office visit,Information-Giving_SDOH,Or no need for an office visit?,PATIENT_SHARED-DECISION_MAKING,0.6821954846382141
We need to make an office visit,Information-Giving_SDOH,if not reach out to our office!,Information-Giving,0.6119804382324219
We need to make an office visit,Information-Giving_SDOH,how can i get this form to your office?,Information-Seeking_SDOH,0.5642628073692322
Thank you,PROVIDER_PARTNERSHIP,Thank you,PATIENT_PARTNERSHIP,1.0000005960464478
Thank you,PROVIDER_PARTNERSHIP,Thank you,PATIENT_PARTNERSHIP,1.0000005960464478
Thank you,PROVIDER_PARTNERSHIP,Thank you,PATIENT_PARTNERSHIP,1.0000005960464478
Thank you,PROVIDER_PARTNERSHIP,thank you,PATIENT_PARTNERSHIP,1.0000005960464478
Thank you,PROVIDER_PARTNERSHIP,Thank you,PATIENT_PARTNERSHIP,1.0000005960464478
Greetings,PROVIDER_PARTNERSHIP,Greetings,PATIENT_PARTNERSHIP,1.000000238418579
Greetings,PROVIDER_PARTNERSHIP,Hello,PATIENT_PARTNERSHIP,0.699611485004425
Greetings,PROVIDER_PARTNERSHIP,Hello,PATIENT_PARTNERSHIP,0.699611485004425
Greetings,PROVIDER_PARTNERSHIP,Hello,PATIENT_PARTNERSHIP,0.699611485004425
Please send to,Information-Giving,I will also send it via email,PROVIDER_PARTNERSHIP,0.6401464343070984
this was faxed,Information-Giving,Did you receive the fax from Dr. Person1?,PATIENT_PARTNERSHIP,0.5654322504997253
Take care,PROVIDER_PARTNERSHIP,Take care,PATIENT_PARTNERSHIP,1.0000003576278687
sent an order for a new PET scan,Information-Giving_SDOH,"Could you please send the pet scan report to Person1 , doctor Person2 assistant",Information-Giving,0.793782114982605
sent an order for a new PET scan,Information-Giving_SDOH,Please be sure to also send the disc of the PET scan images or bring them with you to your appointment,Information-Giving,0.7721730470657349
sent an order for a new PET scan,Information-Giving_SDOH,Could you please cancel my PET and CT scans ordered by Dr. Person2 for this week,PATIENT_PARTNERSHIP,0.694997251033783
