label_A,label_B,count,avg_similarity,n_A,n_B,ratio_A=count/n_A,ratio_B=count/n_B
PATIENT_PARTNERSHIP||salutation,PROVIDER_PARTNERSHIP||salutation,776,0.9907,179,154,4.3352,5.039
PATIENT_PARTNERSHIP||signoff,PROVIDER_PARTNERSHIP||signoff,372,0.9921,156,93,2.3846,4.0
PATIENT_PARTNERSHIP||Appreciation/gratitude,PATIENT_PARTNERSHIP||signoff,211,0.9622,99,156,2.1313,1.3526
PATIENT_PARTNERSHIP||signoff,PROVIDER_PARTNERSHIP||Appreciation/gratitude,123,0.9875,156,22,0.7885,5.5909
Information-Giving||Diagnostics,Information-Seeking||Diagnostics,122,0.6764,159,46,0.7673,2.6522
PATIENT_PARTNERSHIP||Alignment,PROVIDER_PARTNERSHIP||Alignment,113,0.9258,47,41,2.4043,2.7561
PATIENT_PARTNERSHIP||Appreciation/gratitude,PROVIDER_PARTNERSHIP||signoff,112,0.9962,99,93,1.1313,1.2043
Information-Giving||Care_Coordination,PATIENT_PARTNERSHIP||active_participation_/involvement,102,0.6636,168,146,0.6071,0.6986
Information-Giving||Care_Coordination,Information-Giving||Scheduling_appt,101,0.6874,168,120,0.6012,0.8417
Information-Giving||Scheduling_appt,Information-Seeking||Scheduling_appt,90,0.7053,120,33,0.75,2.7273
PATIENT_PARTNERSHIP||Connection,PROVIDER_PARTNERSHIP||Connection,86,0.7316,60,45,1.4333,1.9111
Information-Giving||Diagnostics,Information-Giving||Scheduling_appt,81,0.6719,159,120,0.5094,0.675
PATIENT_PARTNERSHIP||Appreciation/gratitude,PROVIDER_PARTNERSHIP||Appreciation/gratitude,77,0.8711,99,22,0.7778,3.5
Information-Giving||Scheduling_appt,PATIENT_PARTNERSHIP||active_participation_/involvement,74,0.6517,120,146,0.6167,0.5068
Information-Giving||Diagnostics,PATIENT_PARTNERSHIP||active_participation_/involvement,71,0.6525,159,146,0.4465,0.4863
Information-Giving||Care_Coordination,Information-Giving||General_information,69,0.6493,168,145,0.4107,0.4759
Information-Giving||Drugs,Information-Seeking||Drugs,62,0.6783,141,33,0.4397,1.8788
PATIENT_PARTNERSHIP||active_participation_/involvement,PROVIDER_PARTNERSHIP||Maintain_communication,60,0.6509,146,74,0.411,0.8108
PROVIDER_PARTNERSHIP||Appreciation/gratitude,PROVIDER_PARTNERSHIP||signoff,53,1.0,22,93,2.4091,0.5699
