anchor_text,anchor_label,neighbor_text,neighbor_label,similarity
Hi there,PROVIDER_PARTNERSHIP||salutation,Hi,PATIENT_PARTNERSHIP||salutation,0.7954416275024414
In person or telemed?,PROVIDER_PARTNERSHIP||invite_collaboration,We can either schedule for in person or via telehealth,PROVIDER_Shared-Decision_Making||Share_options,0.6036554574966431
be happy to,PROVIDER_PARTNERSHIP||Connection,I was happy,PROVIDER_PARTNERSHIP||Alignment,0.5801900625228882
be happy to,PROVIDER_PARTNERSHIP||Connection,I was happy,PROVIDER_PARTNERSHIP||Alignment,0.5801900625228882
be happy to,PROVIDER_PARTNERSHIP||Connection,Hope this finds you healthy and happy,PATIENT_PARTNERSHIP||Connection,0.5671862959861755
We need to make an office visit,Information-Giving_SDOH||Health_care_access_and_quality,Or no need for an office visit?,PATIENT_SHARED-DECISION_MAKING||Explore_options,0.6821954846382141
We need to make an office visit,Information-Giving_SDOH||Health_care_access_and_quality,if not reach out to our office!,Information-Giving||instruction,0.6119804382324219
We need to make an office visit,Information-Giving_SDOH||Health_care_access_and_quality,how can i get this form to your office?,Information-Seeking_SDOH||Health_care_access_and_quality,0.5642628073692322
Thank you,PROVIDER_PARTNERSHIP||signoff,Thank you,PATIENT_PARTNERSHIP||signoff,1.0000005960464478
Thank you,PROVIDER_PARTNERSHIP||signoff,Thank you,PATIENT_PARTNERSHIP||signoff,1.0000005960464478
Thank you,PROVIDER_PARTNERSHIP||signoff,Thank you,PATIENT_PARTNERSHIP||signoff,1.0000005960464478
Thank you,PROVIDER_PARTNERSHIP||signoff,thank you,PATIENT_PARTNERSHIP||signoff,1.0000005960464478
Thank you,PROVIDER_PARTNERSHIP||signoff,Thank you,PATIENT_PARTNERSHIP||signoff,1.0000005960464478
Greetings,PROVIDER_PARTNERSHIP||salutation,Greetings,PATIENT_PARTNERSHIP||salutation,1.000000238418579
Greetings,PROVIDER_PARTNERSHIP||salutation,Hello,PATIENT_PARTNERSHIP||salutation,0.699611485004425
Greetings,PROVIDER_PARTNERSHIP||salutation,Hello,PATIENT_PARTNERSHIP||salutation,0.699611485004425
Greetings,PROVIDER_PARTNERSHIP||salutation,Hello,PATIENT_PARTNERSHIP||salutation,0.699611485004425
Please send to,Information-Giving||instruction,I will also send it via email,PROVIDER_PARTNERSHIP||Maintain_communication,0.6401464343070984
Please send to,Information-Giving||instruction,please have them send it to us at,Information-Giving||Care_Coordination,0.5937644243240356
Please send to,Information-Giving||instruction,"You can send it to me in here or email, address@email.com",Information-Giving||General_information,0.5513626933097839
this was faxed,Information-Giving||Care_Coordination,Here is the fax number,Information-Giving||General_information,0.6251004338264465
this was faxed,Information-Giving||Care_Coordination,Did you receive the fax from Dr. Person1?,PATIENT_PARTNERSHIP||active_participation_/involvement,0.5654322504997253
Take care,PROVIDER_PARTNERSHIP||Connection,Take care,PROVIDER_PARTNERSHIP||signoff,1.0000003576278687
Take care,PROVIDER_PARTNERSHIP||Connection,Take care,PATIENT_PARTNERSHIP||signoff,1.0000003576278687
Take care,PROVIDER_PARTNERSHIP||Connection,Take care,PROVIDER_PARTNERSHIP||signoff,1.0000001192092896
sent an order for a new PET scan,Information-Giving_SDOH||Health_care_access_and_quality,"Could you please send the pet scan report to Person1 , doctor Person2 assistant",Information-Giving||Care_Coordination,0.793782114982605
sent an order for a new PET scan,Information-Giving_SDOH||Health_care_access_and_quality,Please be sure to also send the disc of the PET scan images or bring them with you to your appointment,Information-Giving||instruction,0.7721730470657349
