label_A,label_B,count,avg_similarity,n_A,n_B,ratio_A=count/n_A,ratio_B=count/n_B
Appreciation/gratitude,signoff,499,0.9801,121,249,4.124,2.004
Care_Coordination,Scheduling_appt,115,0.6918,176,153,0.6534,0.7516
Diagnostics,Scheduling_appt,113,0.6759,205,153,0.5512,0.7386
Diagnostics,active_participation_/involvement,110,0.6605,205,146,0.5366,0.7534
Care_Coordination,active_participation_/involvement,105,0.6652,176,146,0.5966,0.7192
Scheduling_appt,active_participation_/involvement,90,0.6544,153,146,0.5882,0.6164
Care_Coordination,General_information,80,0.6496,176,162,0.4545,0.4938
Connection,signoff,76,0.8098,105,249,0.7238,0.3052
Drugs,Health_care_access_and_quality,67,0.6397,174,100,0.3851,0.67
Maintain_communication,active_participation_/involvement,60,0.6509,74,146,0.8108,0.411
Drugs,active_participation_/involvement,60,0.6311,174,146,0.3448,0.411
Health_care_access_and_quality,Scheduling_appt,52,0.6764,100,153,0.52,0.3399
General_information,active_participation_/involvement,50,0.6465,162,146,0.3086,0.3425
Care_Coordination,Drugs,49,0.6145,176,174,0.2784,0.2816
Diagnostics,instruction,48,0.6428,205,44,0.2341,1.0909
Care_Coordination,Maintain_communication,48,0.6967,176,74,0.2727,0.6486
Scheduling_appt,state_preferences,47,0.6178,153,45,0.3072,1.0444
Alignment,Connection,45,0.7583,88,105,0.5114,0.4286
Care_Coordination,Health_care_access_and_quality,45,0.6467,176,100,0.2557,0.45
Drugs,Seeking_Approval,45,0.6562,174,29,0.2586,1.5517
Scheduling_appt,instruction,44,0.6476,153,44,0.2876,1.0
General_information,Health_care_access_and_quality,43,0.6313,162,100,0.2654,0.43
Care_Coordination,Diagnostics,42,0.6257,176,205,0.2386,0.2049
Drugs,Scheduling_appt,40,0.6399,174,153,0.2299,0.2614
Diagnostics,Health_care_access_and_quality,38,0.6937,205,100,0.1854,0.38
Health_care_access_and_quality,active_participation_/involvement,36,0.6327,100,146,0.36,0.2466
Maintain_communication,Scheduling_appt,34,0.6444,74,153,0.4595,0.2222
General_information,instruction,32,0.6082,162,44,0.1975,0.7273
Care_Coordination,state_preferences,32,0.6327,176,45,0.1818,0.7111
Diagnostics,express_opinions,31,0.6328,205,52,0.1512,0.5962
active_participation_/involvement,state_preferences,31,0.6665,146,45,0.2123,0.6889
General_information,Scheduling_appt,30,0.6262,162,153,0.1852,0.1961
Approval/Reinforcement,Drugs,29,0.7342,25,174,1.16,0.1667
Diagnostics,Maintain_communication,26,0.6174,205,74,0.1268,0.3514
Drugs,express_opinions,25,0.6293,174,52,0.1437,0.4808
Care_Coordination,Connection,24,0.5987,176,105,0.1364,0.2286
Health_care_access_and_quality,instruction,23,0.645,100,44,0.23,0.5227
Drugs,Maintain_communication,22,0.6337,174,74,0.1264,0.2973
General_information,Maintain_communication,22,0.6434,162,74,0.1358,0.2973
Approval/Reinforcement,Scheduling_appt,21,0.6619,25,153,0.84,0.1373
Diagnostics,Drugs,21,0.6459,205,174,0.1024,0.1207
Care_Coordination,instruction,20,0.6529,176,44,0.1136,0.4545
Approval/Reinforcement,Seeking_Approval,20,0.7053,25,29,0.8,0.6897
Seeking_Approval,active_participation_/involvement,19,0.6233,29,146,0.6552,0.1301
Encourage_questions,Maintain_communication,18,0.6657,2,74,9.0,0.2432
Alignment,active_participation_/involvement,18,0.6734,88,146,0.2045,0.1233
Symptoms,active_participation_/involvement,17,0.5996,115,146,0.1478,0.1164
Diagnostics,General_information,17,0.6433,205,162,0.0829,0.1049
Symptoms,express_opinions,16,0.6532,115,52,0.1391,0.3077
Care_Coordination,express_opinions,15,0.6201,176,52,0.0852,0.2885
Care_Coordination,Symptoms,15,0.5871,176,115,0.0852,0.1304
Scheduling_appt,express_opinions,15,0.6535,153,52,0.098,0.2885
Drugs,Explore_options,15,0.6121,174,18,0.0862,0.8333
Maintain_communication,instruction,14,0.6438,74,44,0.1892,0.3182
Connection,General_information,14,0.625,105,162,0.1333,0.0864
Drugs,General_information,14,0.6273,174,162,0.0805,0.0864
active_participation_/involvement,instruction,14,0.6333,146,44,0.0959,0.3182
General_information,Symptoms,14,0.6129,162,115,0.0864,0.1217
General_information,express_opinions,14,0.6056,162,52,0.0864,0.2692
