label,count
Information-Giving_Care_Coordination,168
Information-Giving_Diagnostics,159
Information-Giving_General_information,145
Information-Giving_Drugs,141
Information-Giving_Scheduling_appt,120
Information-Giving_Symptoms,104
Information-Giving_SDOH_Health_care_access_and_quality,81
Information-Seeking_Diagnostics,46
Information-Seeking_Drugs,33
Information-Seeking_Scheduling_appt,33
Information-Seeking_SDOH_Health_care_access_and_quality,19
Information-Giving_SDOH_Economic_stability,18
Information-Seeking_General_information,17
Information-Seeking_Symptoms,11
Information-Seeking_Care_Coordination,8
Information-Giving_SDOH_Neighborhood_and_built_environment,7
Information-Seeking_SDOH_Economic_stability,7
Information-Giving_Prognosis,6
