label,count
salutation,333
signoff,249
active_participation_/involvement,146
Appreciation/gratitude,121
Connection,105
Alignment,88
Maintain_communication,74
express_opinions,52
state_preferences,45
instruction,44
Seeking_Approval,29
Approval/Reinforcement,25
Express_concern/unease,25
checking_understanding/clarification,20
Explore_options,18
Share_options,17
Acknowledge_Error,16
Reassurance,14
Making_decision_together,13
invite_collaboration,11
Sadness/fear,10
build_trust,9
Summarize_and_confirm_understanding,7
Positive_Remarks/Reward,6
Encourage_questions,2
