label_a,label_b,conflict_count,mean_similarity,median_similarity,max_similarity,min_similarity
PartnershipPatient → salutation,PartnershipProvider → salutation,1401,1.0,1.0,1.0,1.0
PartnershipPatient → Appreciation/Gratitude,PartnershipPatient → signoff,683,0.9918,1.0,1.0,0.6
PartnershipPatient → signoff,PartnershipProvider → signoff,494,0.9987,1.0,1.0,0.6667
PartnershipPatient → Appreciation/Gratitude,PartnershipProvider → signoff,262,1.0,1.0,1.0,1.0
PartnershipPatient → Alignment,PartnershipProvider → Alignment,159,1.0,1.0,1.0,1.0
PartnershipPatient → Appreciation/Gratitude,PartnershipProvider → Appreciation/Gratitude,76,0.8814,1.0,1.0,0.6
PartnershipPatient → signoff,PartnershipProvider → Appreciation/Gratitude,58,0.9431,1.0,1.0,0.6
PartnershipProvider → connection,PartnershipProvider → signoff,18,1.0,1.0,1.0,1.0
PartnershipProvider → Appreciation/Gratitude,PartnershipProvider → signoff,15,1.0,1.0,1.0,1.0
PartnershipPatient → connection,PartnershipPatient → signoff,12,0.6111,0.6,0.6667,0.6
PartnershipPatient → activeParticipation/involvement,PartnershipProvider → maintainCommunication,12,0.7042,0.6667,0.8,0.625
PartnershipPatient → signoff,PartnershipProvider → connection,11,0.9273,1.0,1.0,0.6
PartnershipPatient → connection,PartnershipProvider → signoff,8,0.6667,0.6667,0.6667,0.6667
PartnershipPatient → Alignment,PartnershipPatient → connection,7,1.0,1.0,1.0,1.0
PartnershipPatient → Appreciation/Gratitude,PartnershipProvider → salutation,6,1.0,1.0,1.0,1.0
PartnershipProvider → maintainCommunication,SharedDecisionProvider → EncourageQuestions,4,0.7321,0.7321,0.75,0.7143
PartnershipPatient → connection,PartnershipProvider → Alignment,3,1.0,1.0,1.0,1.0
PartnershipProvider → Alignment,PartnershipProvider → connection,3,0.7778,0.6667,1.0,0.6667
PartnershipPatient → signoff,PartnershipProvider → salutation,3,1.0,1.0,1.0,1.0
PartnershipPatient → connection,PartnershipProvider → connection,3,0.9444,0.9167,1.0,0.9167
PartnershipPatient → Appreciation/Gratitude,PartnershipProvider → connection,2,1.0,1.0,1.0,1.0
InfoGive → Drugs,PartnershipProvider → maintainCommunication,2,0.6667,0.6667,0.6667,0.6667
InfoGive → Instruction,InfoGive → SchedulingAppt,2,0.6667,0.6667,0.6667,0.6667
PartnershipPatient → connection,PartnershipProvider → maintainCommunication,2,0.6667,0.6667,0.6667,0.6667
PartnershipPatient → Alignment,PartnershipProvider → inviteCollaboration,2,0.6,0.6,0.6,0.6
InfoGiveSDOH → EconomicStability,InfoGiveSDOH → HealthCareAccessAndQuality,2,0.6,0.6,0.6,0.6
InfoGive → SchedulingAppt,InfoGive → carecoordination,2,0.6,0.6,0.6,0.6
InfoGive → Generalinformation,Socioemotional/Empathy → ExpressConcern/unease,2,0.75,0.75,0.75,0.75
PartnershipProvider → connection,Socioemotional/Empathy → AcknowledgeError,2,0.6,0.6,0.6,0.6
InfoGive → Diagnostics,InfoGiveSDOH → HealthCareAccessAndQuality,2,0.625,0.625,0.625,0.625
PartnershipPatient → salutation,PartnershipProvider → Alignment,2,1.0,1.0,1.0,1.0
InfoGive → Diagnostics,SharedDecisionProvider → Approval/Reinforcement,1,1.0,1.0,1.0,1.0
InfoGive → Diagnostics,InfoGive → Generalinformation,1,1.0,1.0,1.0,1.0
InfoGive → carecoordination,PartnershipProvider → maintainCommunication,1,1.0,1.0,1.0,1.0
InfoSeek → Diagnostics,PartnershipPatient → activeParticipation/involvement,1,1.0,1.0,1.0,1.0
PartnershipPatient → activeParticipation/involvement,PartnershipPatient → statePreferences,1,1.0,1.0,1.0,1.0
InfoGive → Symptoms,PartnershipPatient → expressOpinions,1,1.0,1.0,1.0,1.0
InfoGive → Drugs,PartnershipProvider → checkingUnderstanding/clarification,1,1.0,1.0,1.0,1.0
PartnershipPatient → Alignment,PartnershipProvider → connection,1,1.0,1.0,1.0,1.0
PartnershipProvider → salutation,PartnershipProvider → signoff,1,1.0,1.0,1.0,1.0
