label,neighbor_disagreement,neighbor_total,disagreement_rate
PartnershipPatient → salutation,981,1790,0.548
PartnershipPatient → signoff,692,1560,0.4436
PartnershipProvider → signoff,474,930,0.5097
PartnershipProvider → salutation,432,1540,0.2805
PartnershipPatient → Appreciation/Gratitude,315,990,0.3182
PartnershipProvider → Appreciation/Gratitude,130,220,0.5909
PartnershipPatient → Alignment,83,470,0.1766
PartnershipProvider → Alignment,80,410,0.1951
PartnershipPatient → connection,22,600,0.0367
PartnershipProvider → connection,22,450,0.0489
PartnershipProvider → maintainCommunication,10,740,0.0135
PartnershipPatient → activeParticipation/involvement,7,1460,0.0048
InfoGive → Diagnostics,2,1590,0.0013
InfoGive → SchedulingAppt,2,1200,0.0017
InfoGive → carecoordination,2,1680,0.0012
InfoGiveSDOH → HealthCareAccessAndQuality,2,810,0.0025
SharedDecisionProvider → EncourageQuestions,2,20,0.1
InfoGive → Drugs,1,1410,0.0007
InfoGive → Generalinformation,1,1450,0.0007
InfoGive → Instruction,1,440,0.0023
InfoGiveSDOH → EconomicStability,1,180,0.0056
InfoSeek → Diagnostics,1,460,0.0022
PartnershipPatient → expressOpinions,1,520,0.0019
PartnershipProvider → checkingUnderstanding/clarification,1,200,0.005
PartnershipProvider → inviteCollaboration,1,110,0.0091
SharedDecisionProvider → Approval/Reinforcement,1,180,0.0056
Socioemotional/Empathy → AcknowledgeError,1,160,0.0063
Socioemotional/Empathy → ExpressConcern/unease,1,250,0.004
InfoGive → Prognosis,0,60,0.0
InfoGive → Symptoms,0,1040,0.0
InfoGiveSDOH → NeighborhoodAndBuiltEnvironment,0,70,0.0
InfoSeek → Drugs,0,330,0.0
InfoSeek → Generalinformation,0,170,0.0
InfoSeek → SchedulingAppt,0,330,0.0
InfoSeek → Symptoms,0,110,0.0
InfoSeek → carecoordination,0,80,0.0
InfoSeekSDOH → EconomicStability,0,70,0.0
InfoSeekSDOH → HealthCareAccessAndQuality,0,190,0.0
PartnershipPatient → build trust,0,50,0.0
PartnershipPatient → statePreferences,0,450,0.0
PartnershipProvider → build trust,0,40,0.0
SharedDecisionPatient → ApprovalofDecision/Reinforcement,0,70,0.0
SharedDecisionPatient → ExploreOptions,0,180,0.0
SharedDecisionPatient → SeekingApproval,0,290,0.0
SharedDecisionProvider → MakeDecision,0,130,0.0
SharedDecisionProvider → ShareOptions,0,170,0.0
SharedDecisionProvider → SummarizeConfirmUnderstanding,0,70,0.0
Socioemotional/Empathy → PositiveRemarks,0,60,0.0
Socioemotional/Empathy → Reassurance,0,140,0.0
Socioemotional/Empathy → Sadness/fear,0,100,0.0
