label_a,label_b,conflict_count,mean_similarity,median_similarity,max_similarity,min_similarity
PartnershipPatient → salutation,PartnershipProvider → salutation,1459,0.9978,1.0,1.0,0.6177
PartnershipPatient → signoff,PartnershipProvider → signoff,568,0.9886,1.0,1.0,0.6379
PartnershipPatient → Appreciation/Gratitude,PartnershipPatient → signoff,552,0.9716,1.0,1.0,0.6173
PartnershipPatient → signoff,PartnershipProvider → Appreciation/Gratitude,295,0.9768,1.0,1.0,0.6267
PartnershipPatient → Appreciation/Gratitude,PartnershipProvider → Appreciation/Gratitude,211,0.8995,1.0,1.0,0.617
PartnershipPatient → Appreciation/Gratitude,PartnershipProvider → signoff,182,0.9929,1.0,1.0,0.604
PartnershipPatient → Alignment,PartnershipProvider → Alignment,163,0.9795,1.0,1.0,0.6063
PartnershipProvider → Appreciation/Gratitude,PartnershipProvider → signoff,135,0.9946,1.0,1.0,0.6379
PartnershipPatient → activeParticipation/involvement,PartnershipProvider → maintainCommunication,109,0.7503,0.7291,0.9719,0.6046
PartnershipPatient → connection,PartnershipProvider → connection,101,0.7798,0.7475,1.0,0.6022
InfoGive → Diagnostics,InfoGive → Drugs,80,0.6932,0.6682,0.8547,0.6061
InfoGive → SchedulingAppt,InfoGive → carecoordination,60,0.6782,0.677,0.8003,0.602
InfoSeek → Diagnostics,PartnershipPatient → activeParticipation/involvement,60,0.7326,0.7288,1.0,0.6071
InfoGive → Generalinformation,PartnershipPatient → activeParticipation/involvement,59,0.7294,0.7291,0.89,0.6061
InfoGive → Drugs,InfoGive → Generalinformation,58,0.6886,0.6739,0.8861,0.6055
InfoGive → Diagnostics,InfoGive → Generalinformation,55,0.7128,0.6948,1.0,0.6012
InfoGive → Drugs,InfoGive → carecoordination,51,0.6771,0.6713,0.8794,0.6011
InfoGive → SchedulingAppt,InfoSeek → SchedulingAppt,51,0.6836,0.6747,0.8093,0.602
InfoGive → Diagnostics,InfoGive → SchedulingAppt,50,0.6705,0.6458,0.8488,0.6
InfoGive → Generalinformation,InfoGive → SchedulingAppt,47,0.6836,0.6813,0.8056,0.6001
InfoGive → Generalinformation,InfoGive → Symptoms,42,0.6772,0.6589,0.8057,0.6009
InfoGive → Diagnostics,InfoSeek → Diagnostics,42,0.6758,0.6649,0.8223,0.6017
PartnershipPatient → connection,PartnershipProvider → signoff,39,0.7613,0.7039,0.9545,0.6075
InfoGive → Diagnostics,InfoGive → Symptoms,38,0.6716,0.6586,0.8663,0.6006
InfoGive → Generalinformation,InfoGive → carecoordination,36,0.6897,0.6692,0.8757,0.6066
PartnershipPatient → connection,PartnershipPatient → signoff,35,0.7918,0.7915,1.0,0.6146
PartnershipPatient → connection,Socioemotional/Empathy → Sadness/fear,33,0.7106,0.6983,0.8762,0.6132
InfoGive → Drugs,InfoGive → SchedulingAppt,32,0.7056,0.7028,0.7748,0.6208
InfoGive → Diagnostics,InfoGive → carecoordination,32,0.6965,0.642,0.9194,0.6094
InfoGive → Instruction,InfoGive → SchedulingAppt,32,0.7503,0.7365,0.893,0.6387
InfoGive → Diagnostics,InfoGiveSDOH → HealthCareAccessAndQuality,30,0.7022,0.7017,0.8553,0.6033
InfoGive → carecoordination,InfoGiveSDOH → HealthCareAccessAndQuality,30,0.6686,0.6361,0.901,0.6022
InfoGive → Drugs,InfoGive → Symptoms,27,0.6792,0.6536,0.8495,0.6257
InfoGive → Drugs,InfoGiveSDOH → HealthCareAccessAndQuality,25,0.6661,0.6498,0.7807,0.6017
