pair,src_label,src_text,nbr_label,nbr_text,similarity
PartnershipPatient → salutation || PartnershipProvider → salutation,PartnershipProvider → salutation,Hi there,PartnershipPatient → salutation,Hi,0.7954
PartnershipPatient → salutation || PartnershipProvider → salutation,PartnershipProvider → salutation,Hi there,PartnershipPatient → salutation,Hi,0.7954
PartnershipProvider → inviteCollaboration || SharedDecisionProvider → ShareOptions,PartnershipProvider → inviteCollaboration,In person or telemed?,SharedDecisionProvider → ShareOptions,We can either schedule for in person or via telehealth,0.6037
PartnershipPatient → salutation || PartnershipProvider → salutation,PartnershipProvider → salutation,Hi,PartnershipPatient → salutation,Hi,1.0
PartnershipPatient → salutation || PartnershipProvider → salutation,PartnershipProvider → salutation,Hi,PartnershipPatient → salutation,Hi,1.0
PartnershipPatient → salutation || PartnershipProvider → salutation,PartnershipProvider → salutation,Hi,PartnershipPatient → salutation,Hi,1.0
PartnershipPatient → salutation || PartnershipProvider → salutation,PartnershipProvider → salutation,Hi,PartnershipPatient → salutation,Hi,1.0
InfoGiveSDOH → HealthCareAccessAndQuality || SharedDecisionPatient → ExploreOptions,InfoGiveSDOH → HealthCareAccessAndQuality,We need to make an office visit,SharedDecisionPatient → ExploreOptions,Or no need for an office visit?,0.6822
InfoGive → Instruction || InfoGiveSDOH → HealthCareAccessAndQuality,InfoGiveSDOH → HealthCareAccessAndQuality,We need to make an office visit,InfoGive → Instruction,if not reach out to our office!,0.612
PartnershipPatient → signoff || PartnershipProvider → signoff,PartnershipProvider → signoff,Thank you,PartnershipPatient → signoff,Thank you,1.0
PartnershipPatient → Appreciation/Gratitude || PartnershipProvider → signoff,PartnershipProvider → signoff,Thank you,PartnershipPatient → Appreciation/Gratitude,Thank you,1.0
PartnershipProvider → Appreciation/Gratitude || PartnershipProvider → signoff,PartnershipProvider → signoff,Thank you,PartnershipProvider → Appreciation/Gratitude,Thank you,1.0
PartnershipPatient → signoff || PartnershipProvider → signoff,PartnershipProvider → signoff,Thank you,PartnershipPatient → signoff,Thank you,1.0
PartnershipPatient → signoff || PartnershipProvider → signoff,PartnershipProvider → signoff,Thank you,PartnershipPatient → signoff,Thank you,1.0
PartnershipPatient → salutation || PartnershipProvider → salutation,PartnershipProvider → salutation,Greetings,PartnershipPatient → salutation,Greetings,1.0
PartnershipPatient → salutation || PartnershipProvider → salutation,PartnershipProvider → salutation,Greetings,PartnershipPatient → salutation,Hello,0.6996
PartnershipPatient → salutation || PartnershipProvider → salutation,PartnershipProvider → salutation,Greetings,PartnershipPatient → salutation,Hello,0.6996
PartnershipPatient → salutation || PartnershipProvider → salutation,PartnershipProvider → salutation,Greetings,PartnershipPatient → salutation,Hello,0.6996
PartnershipPatient → salutation || PartnershipProvider → salutation,PartnershipProvider → salutation,Greetings,PartnershipPatient → salutation,Hello,0.6996
PartnershipPatient → salutation || PartnershipProvider → salutation,PartnershipProvider → salutation,Greetings,PartnershipPatient → salutation,Hello,0.6996
PartnershipPatient → salutation || PartnershipProvider → salutation,PartnershipProvider → salutation,Greetings,PartnershipPatient → salutation,Hello,0.6996
PartnershipPatient → salutation || PartnershipProvider → salutation,PartnershipProvider → salutation,Greetings,PartnershipPatient → salutation,Hello,0.6996
InfoGive → Instruction || PartnershipProvider → maintainCommunication,InfoGive → Instruction,Please send to,PartnershipProvider → maintainCommunication,I will also send it via email,0.6401
PartnershipPatient → salutation || PartnershipProvider → salutation,PartnershipProvider → salutation,Hi,PartnershipPatient → salutation,Hi,1.0
PartnershipPatient → salutation || PartnershipProvider → salutation,PartnershipProvider → salutation,Hi,PartnershipPatient → salutation,Hi,1.0
PartnershipPatient → salutation || PartnershipProvider → salutation,PartnershipProvider → salutation,Hi,PartnershipPatient → salutation,Hi,1.0
