label,neighbor_disagreement,neighbor_total,disagreement_rate
PartnershipProvider → salutation,769,1540,0.4994
PartnershipPatient → salutation,762,1790,0.4257
PartnershipPatient → signoff,744,1560,0.4769
PartnershipProvider → signoff,571,930,0.614
PartnershipPatient → Appreciation/Gratitude,519,990,0.5242
PartnershipPatient → activeParticipation/involvement,378,1460,0.2589
InfoGive → SchedulingAppt,369,1200,0.3075
InfoGive → carecoordination,323,1680,0.1923
InfoGive → Diagnostics,313,1590,0.1969
InfoGive → Drugs,189,1410,0.134
InfoGiveSDOH → HealthCareAccessAndQuality,178,810,0.2198
InfoSeek → Diagnostics,167,460,0.363
PartnershipProvider → maintainCommunication,156,740,0.2108
InfoGive → Generalinformation,153,1450,0.1055
PartnershipProvider → Appreciation/Gratitude,138,220,0.6273
InfoSeek → SchedulingAppt,137,330,0.4152
PartnershipProvider → connection,134,450,0.2978
PartnershipPatient → connection,125,600,0.2083
PartnershipProvider → Alignment,115,410,0.2805
PartnershipPatient → Alignment,106,470,0.2255
InfoGive → Instruction,105,440,0.2386
PartnershipPatient → statePreferences,103,450,0.2289
InfoSeek → Drugs,85,330,0.2576
SharedDecisionPatient → SeekingApproval,74,290,0.2552
PartnershipPatient → expressOpinions,68,520,0.1308
SharedDecisionProvider → Approval/Reinforcement,60,180,0.3333
InfoGive → Symptoms,40,1040,0.0385
PartnershipProvider → checkingUnderstanding/clarification,32,200,0.16
InfoSeekSDOH → HealthCareAccessAndQuality,30,190,0.1579
InfoGiveSDOH → EconomicStability,29,180,0.1611
SharedDecisionPatient → ExploreOptions,28,180,0.1556
SharedDecisionProvider → ShareOptions,25,170,0.1471
PartnershipProvider → inviteCollaboration,23,110,0.2091
Socioemotional/Empathy → Reassurance,22,140,0.1571
InfoSeek → carecoordination,20,80,0.25
SharedDecisionProvider → MakeDecision,18,130,0.1385
InfoSeek → Generalinformation,17,170,0.1
Socioemotional/Empathy → ExpressConcern/unease,13,250,0.052
Socioemotional/Empathy → AcknowledgeError,12,160,0.075
InfoSeek → Symptoms,11,110,0.1
SharedDecisionProvider → EncourageQuestions,10,20,0.5
InfoSeekSDOH → EconomicStability,9,70,0.1286
Socioemotional/Empathy → Sadness/fear,8,100,0.08
InfoGive → Prognosis,7,60,0.1167
PartnershipPatient → build trust,7,50,0.14
Socioemotional/Empathy → PositiveRemarks,7,60,0.1167
SharedDecisionProvider → SummarizeConfirmUnderstanding,5,70,0.0714
SharedDecisionPatient → ApprovalofDecision/Reinforcement,4,70,0.0571
InfoGiveSDOH → NeighborhoodAndBuiltEnvironment,0,70,0.0
PartnershipProvider → build trust,0,40,0.0
