label,neighbor_disagreement,neighbor_total,disagreement_rate
PartnershipPatient → salutation,999,1790,0.5581
PartnershipProvider → signoff,541,930,0.5817
PartnershipPatient → signoff,504,1560,0.3231
PartnershipPatient → Appreciation/Gratitude,466,990,0.4707
PartnershipProvider → salutation,436,1540,0.2831
PartnershipProvider → Appreciation/Gratitude,136,220,0.6182
PartnershipPatient → Alignment,104,470,0.2213
PartnershipProvider → Alignment,87,410,0.2122
PartnershipProvider → connection,49,450,0.1089
PartnershipPatient → connection,40,600,0.0667
PartnershipPatient → activeParticipation/involvement,39,1460,0.0267
PartnershipProvider → maintainCommunication,24,740,0.0324
InfoGive → Symptoms,16,1040,0.0154
InfoSeek → Diagnostics,14,460,0.0304
InfoGive → Generalinformation,12,1450,0.0083
InfoGive → Drugs,11,1410,0.0078
SharedDecisionPatient → ApprovalofDecision/Reinforcement,11,70,0.1571
InfoGive → SchedulingAppt,7,1200,0.0058
Socioemotional/Empathy → AcknowledgeError,6,160,0.0375
InfoGive → carecoordination,5,1680,0.003
InfoGiveSDOH → HealthCareAccessAndQuality,5,810,0.0062
PartnershipPatient → expressOpinions,5,520,0.0096
InfoGive → Diagnostics,4,1590,0.0025
SharedDecisionPatient → SeekingApproval,4,290,0.0138
Socioemotional/Empathy → PositiveRemarks,4,60,0.0667
Socioemotional/Empathy → Sadness/fear,4,100,0.04
InfoGive → Instruction,3,440,0.0068
InfoSeek → Drugs,3,330,0.0091
PartnershipPatient → statePreferences,3,450,0.0067
PartnershipProvider → inviteCollaboration,3,110,0.0273
SharedDecisionProvider → Approval/Reinforcement,3,180,0.0167
InfoSeek → Symptoms,2,110,0.0182
SharedDecisionProvider → EncourageQuestions,2,20,0.1
Socioemotional/Empathy → ExpressConcern/unease,2,250,0.008
Socioemotional/Empathy → Reassurance,2,140,0.0143
InfoGive → Prognosis,1,60,0.0167
InfoSeek → Generalinformation,1,170,0.0059
InfoSeek → SchedulingAppt,1,330,0.003
InfoSeekSDOH → HealthCareAccessAndQuality,1,190,0.0053
PartnershipPatient → build trust,1,50,0.02
SharedDecisionPatient → ExploreOptions,1,180,0.0056
SharedDecisionProvider → MakeDecision,1,130,0.0077
SharedDecisionProvider → ShareOptions,1,170,0.0059
InfoGiveSDOH → EconomicStability,0,180,0.0
InfoGiveSDOH → NeighborhoodAndBuiltEnvironment,0,70,0.0
InfoSeek → carecoordination,0,80,0.0
InfoSeekSDOH → EconomicStability,0,70,0.0
PartnershipProvider → build trust,0,40,0.0
PartnershipProvider → checkingUnderstanding/clarification,0,200,0.0
SharedDecisionProvider → SummarizeConfirmUnderstanding,0,70,0.0
