Class,Support,Precision,Recall,F1 Score
salutation,23,1.0,1.0,1.0
signoff,50,0.8679245283018868,0.92,0.8932038834951457
AcknowledgeError,3,1.0,0.6666666666666666,0.8
Appreciation/Gratitude,14,0.9,0.6428571428571429,0.75
connection,18,0.7647058823529411,0.7222222222222222,0.7428571428571429
Sadness/fear,2,0.5,1.0,0.6666666666666666
Diagnostics,39,0.5918367346938775,0.7435897435897436,0.6590909090909091
Symptoms,20,0.6086956521739131,0.7,0.6511627906976745
Drugs,32,0.7037037037037037,0.59375,0.6440677966101694
Alignment,12,0.5625,0.75,0.6428571428571429
Instruction,7,0.5555555555555556,0.7142857142857143,0.625
statePreferences,9,1.0,0.3333333333333333,0.5
maintainCommunication,11,0.5714285714285714,0.36363636363636365,0.4444444444444444
SchedulingAppt,27,0.40625,0.48148148148148145,0.4406779661016949
carecoordination,30,0.43333333333333335,0.43333333333333335,0.43333333333333335
Generalinformation,31,0.3333333333333333,0.25806451612903225,0.2909090909090909
activeParticipation/involvement,27,0.2222222222222222,0.2962962962962963,0.25396825396825395
ExpressConcern/unease,4,0.25,0.25,0.25
SeekingApproval,5,0.25,0.2,0.2222222222222222
HealthCareAccessAndQuality,17,0.13793103448275862,0.23529411764705882,0.17391304347826086
Reassurance,2,0.0,0.0,0.0
PositiveRemarks,1,0.0,0.0,0.0
NeighborhoodAndBuiltEnvironment,1,0.0,0.0,0.0
MakeDecision,2,0.0,0.0,0.0
ApprovalofDecision/Reinforcement,1,0.0,0.0,0.0
ExploreOptions,3,0.0,0.0,0.0
EconomicStability,4,0.0,0.0,0.0
Approval/Reinforcement,3,0.0,0.0,0.0
Prognosis,1,0.0,0.0,0.0
ShareOptions,2,0.0,0.0,0.0
SummarizeConfirmUnderstanding,1,0.0,0.0,0.0
build trust,1,0.0,0.0,0.0
inviteCollaboration,2,0.0,0.0,0.0
checkingUnderstanding/clarification,3,0.0,0.0,0.0
expressOpinions,9,0.0,0.0,0.0
