Mapped Codebook Label,Frequency
Partnership,1253
salutation,333
signoff,249
Diagnostics,205
Care_Coordination,176
Drugs,174
General_information,162
Scheduling_appt,153
active_participation_/involvement,146
Appreciation/gratitude,121
Symptoms,115
Information-Giving_SDOH,106
Connection,105
Health_care_access_and_quality,100
Alignment,88
Maintain_communication,74
Socioemotional_/_Empathy,71
Health_Access,66
PATIENT_SHARED-DECISION_MAKING,54
express_opinions,52
state_preferences,45
instruction,44
Seeking_Approval,29
Information-Seeking_SDOH,26
Approval/Reinforcement,25
Economic_stability,25
Express_concern/unease,25
Insurance,24
checking_understanding/clarification,20
Explore_options,18
Share_options,17
Acknowledge_Error,16
Financial_Insecurity,14
Reassurance,14
Making_decision_together,13
invite_collaboration,11
Sadness/fear,10
build_trust,9
Work-related_Challenges,8
Neighborhood_and_built_environment,7
Summarize_and_confirm_understanding,7
Positive_Remarks/Reward,6
Prognosis,6
Diet,4
Lifestyle,3
Employment_Status,3
Encourage_questions,2
Sleep,2
Physical_Activity,1
