Class,Support,Precision,Recall,F1 Score
SummarizeConfirmUnderstanding,1,1.0,1.0,1.0
salutation,3,1.0,1.0,1.0
signoff,34,0.90625,0.8529411764705882,0.8787878787878788
Appreciation/Gratitude,12,0.8333333333333334,0.8333333333333334,0.8333333333333334
ExploreOptions,3,1.0,0.6666666666666666,0.8
connection,16,0.7058823529411765,0.75,0.7272727272727273
Symptoms,18,0.7222222222222222,0.7222222222222222,0.7222222222222222
Alignment,8,0.5833333333333334,0.875,0.7
AcknowledgeError,2,0.5,1.0,0.6666666666666666
Sadness/fear,2,1.0,0.5,0.6666666666666666
Diagnostics,30,0.5833333333333334,0.7,0.6363636363636364
SchedulingAppt,21,0.4666666666666667,0.6666666666666666,0.5490196078431373
Drugs,24,0.5,0.5416666666666666,0.52
HealthCareAccessAndQuality,13,0.4375,0.5384615384615384,0.4827586206896552
carecoordination,25,0.3939393939393939,0.52,0.4482758620689655
maintainCommunication,11,0.5714285714285714,0.36363636363636365,0.4444444444444444
Instruction,6,0.6666666666666666,0.3333333333333333,0.4444444444444444
activeParticipation/involvement,24,0.39285714285714285,0.4583333333333333,0.4230769230769231
ShareOptions,3,0.5,0.3333333333333333,0.4
Generalinformation,24,0.391304347826087,0.375,0.3829787234042553
statePreferences,9,0.6666666666666666,0.2222222222222222,0.3333333333333333
NeighborhoodAndBuiltEnvironment,1,0.0,0.0,0.0
MakeDecision,2,0.0,0.0,0.0
Approval/Reinforcement,3,0.0,0.0,0.0
EconomicStability,3,0.0,0.0,0.0
ExpressConcern/unease,4,0.0,0.0,0.0
Reassurance,2,0.0,0.0,0.0
Prognosis,1,0.0,0.0,0.0
PositiveRemarks,1,0.0,0.0,0.0
SeekingApproval,5,0.0,0.0,0.0
build trust,1,0.0,0.0,0.0
inviteCollaboration,2,0.0,0.0,0.0
checkingUnderstanding/clarification,3,0.0,0.0,0.0
expressOpinions,8,0.0,0.0,0.0
