Class,Support,Precision,Recall,F1 Score
Summarize_and_confirm_understanding,1,1.0,1.0,1.0
salutation,4,1.0,1.0,1.0
Sadness/fear,2,1.0,1.0,1.0
signoff,31,0.7948717948717948,1.0,0.8857142857142857
Appreciation/gratitude,12,0.75,0.75,0.75
Symptoms,24,0.7727272727272727,0.7083333333333334,0.7391304347826086
Diagnostics,32,0.6363636363636364,0.65625,0.6461538461538462
Drugs,25,0.64,0.64,0.64
Connection,18,0.8181818181818182,0.5,0.6206896551724138
Alignment,10,0.5,0.7,0.5833333333333334
Care_Coordination,22,0.5,0.6363636363636364,0.56
Maintain_communication,14,0.42105263157894735,0.5714285714285714,0.48484848484848486
Health_care_access_and_quality,17,0.5,0.4117647058823529,0.45161290322580644
Scheduling_appt,16,0.38095238095238093,0.5,0.43243243243243246
Share_options,3,0.5,0.3333333333333333,0.4
Explore_options,5,0.3333333333333333,0.4,0.36363636363636365
General_information,17,0.3,0.35294117647058826,0.32432432432432434
instruction,10,0.3333333333333333,0.3,0.3157894736842105
Seeking_Approval,4,0.25,0.25,0.25
express_opinions,9,0.18181818181818182,0.2222222222222222,0.2
active_participation_/involvement,25,0.25,0.16,0.1951219512195122
Acknowledge_Error,1,0.0,0.0,0.0
Approval/Reinforcement,2,0.0,0.0,0.0
Express_concern/unease,4,0.0,0.0,0.0
Positive_Remarks/Reward,1,0.0,0.0,0.0
Making_decision_together,1,0.0,0.0,0.0
Economic_stability,2,0.0,0.0,0.0
Reassurance,2,0.0,0.0,0.0
build_trust,3,0.0,0.0,0.0
checking_understanding/clarification,3,0.0,0.0,0.0
invite_collaboration,3,0.0,0.0,0.0
state_preferences,2,0.0,0.0,0.0
