Class,Support,Precision,Recall,F1 Score
salutation,17,1.0,1.0,1.0
signoff,51,0.8909090909090909,0.9607843137254902,0.9245283018867925
Reassurance,1,0.5,1.0,0.6666666666666666
Drugs,32,0.6052631578947368,0.71875,0.6571428571428571
Connection,15,0.8,0.5333333333333333,0.64
Appreciation/gratitude,13,0.5625,0.6923076923076923,0.6206896551724138
Diagnostics,37,0.6774193548387096,0.5675675675675675,0.6176470588235294
Care_Coordination,33,0.5348837209302325,0.696969696969697,0.6052631578947368
Alignment,10,0.6,0.6,0.6
Symptoms,22,0.5652173913043478,0.5909090909090909,0.5777777777777777
Seeking_Approval,5,1.0,0.4,0.5714285714285714
instruction,11,1.0,0.36363636363636365,0.5333333333333333
Approval/Reinforcement,3,0.4,0.6666666666666666,0.5
Scheduling_appt,30,0.3333333333333333,0.5333333333333333,0.41025641025641024
Health_care_access_and_quality,19,0.4,0.42105263157894735,0.41025641025641024
General_information,26,0.34615384615384615,0.34615384615384615,0.34615384615384615
Express_concern/unease,2,0.25,0.5,0.3333333333333333
state_preferences,12,0.3333333333333333,0.3333333333333333,0.3333333333333333
active_participation_/involvement,25,0.25806451612903225,0.32,0.2857142857142857
Acknowledge_Error,6,1.0,0.16666666666666666,0.2857142857142857
Maintain_communication,16,0.4,0.125,0.19047619047619047
express_opinions,10,0.09090909090909091,0.1,0.09523809523809523
Encourage_questions,2,0.0,0.0,0.0
Explore_options,3,0.0,0.0,0.0
Neighborhood_and_built_environment,1,0.0,0.0,0.0
Economic_stability,1,0.0,0.0,0.0
Positive_Remarks/Reward,3,0.0,0.0,0.0
Sadness/fear,1,0.0,0.0,0.0
Share_options,4,0.0,0.0,0.0
checking_understanding/clarification,1,0.0,0.0,0.0
build_trust,2,0.0,0.0,0.0
invite_collaboration,3,0.0,0.0,0.0
