Class,Support,Precision,Recall,F1 Score
salutation,26,1.0,0.9230769230769231,0.96
signoff,60,0.8571428571428571,1.0,0.9230769230769231
Appreciation/Gratitude,17,1.0,0.5294117647058824,0.6923076923076923
Prognosis,2,1.0,0.5,0.6666666666666666
connection,20,0.5909090909090909,0.65,0.6190476190476191
carecoordination,21,0.5384615384615384,0.6666666666666666,0.5957446808510638
Alignment,12,0.5333333333333333,0.6666666666666666,0.5925925925925926
statePreferences,11,0.8333333333333334,0.45454545454545453,0.5882352941176471
Instruction,8,1.0,0.375,0.5454545454545454
SchedulingAppt,24,0.48148148148148145,0.5416666666666666,0.5098039215686274
Drugs,25,0.5,0.52,0.5098039215686274
Diagnostics,35,0.53125,0.4857142857142857,0.5074626865671642
AcknowledgeError,2,0.5,0.5,0.5
activeParticipation/involvement,24,0.42857142857142855,0.5,0.46153846153846156
Symptoms,13,0.42857142857142855,0.46153846153846156,0.4444444444444444
ExploreOptions,4,1.0,0.25,0.4
MakeDecision,3,0.5,0.3333333333333333,0.4
ExpressConcern/unease,4,1.0,0.25,0.4
HealthCareAccessAndQuality,15,0.3333333333333333,0.4,0.36363636363636365
Generalinformation,19,0.27586206896551724,0.42105263157894735,0.3333333333333333
maintainCommunication,9,0.23076923076923078,0.3333333333333333,0.2727272727272727
expressOpinions,8,0.14285714285714285,0.125,0.13333333333333333
NeighborhoodAndBuiltEnvironment,1,0.0,0.0,0.0
Approval/Reinforcement,1,0.0,0.0,0.0
ApprovalofDecision/Reinforcement,1,0.0,0.0,0.0
EncourageQuestions,1,0.0,0.0,0.0
EconomicStability,3,0.0,0.0,0.0
Reassurance,3,0.0,0.0,0.0
PositiveRemarks,1,0.0,0.0,0.0
ShareOptions,2,0.0,0.0,0.0
SummarizeConfirmUnderstanding,1,0.0,0.0,0.0
build trust,1,0.0,0.0,0.0
SeekingApproval,3,0.0,0.0,0.0
inviteCollaboration,1,0.0,0.0,0.0
checkingUnderstanding/clarification,2,0.0,0.0,0.0
