Class,Support,Precision,Recall,F1 Score
Approval/Reinforcement,1,1.0,1.0,1.0
signoff,54,0.9454545454545454,0.9629629629629629,0.9541284403669725
salutation,20,0.95,0.95,0.95
Appreciation/Gratitude,11,0.9090909090909091,0.9090909090909091,0.9090909090909091
SeekingApproval,3,1.0,0.6666666666666666,0.8
AcknowledgeError,2,0.6666666666666666,1.0,0.8
Alignment,15,0.7692307692307693,0.6666666666666666,0.7142857142857143
Sadness/fear,2,1.0,0.5,0.6666666666666666
connection,19,0.48,0.631578947368421,0.5454545454545454
Symptoms,21,0.625,0.47619047619047616,0.5405405405405406
Drugs,30,0.5,0.5333333333333333,0.5161290322580645
Diagnostics,33,0.4146341463414634,0.5151515151515151,0.4594594594594595
Generalinformation,27,0.4,0.4444444444444444,0.42105263157894735
Instruction,9,0.42857142857142855,0.3333333333333333,0.375
carecoordination,23,0.3888888888888889,0.30434782608695654,0.34146341463414637
statePreferences,9,0.6666666666666666,0.2222222222222222,0.3333333333333333
ExploreOptions,3,0.3333333333333333,0.3333333333333333,0.3333333333333333
SchedulingAppt,22,0.2916666666666667,0.3181818181818182,0.30434782608695654
maintainCommunication,12,0.3333333333333333,0.25,0.2857142857142857
activeParticipation/involvement,19,0.1702127659574468,0.42105263157894735,0.24242424242424243
HealthCareAccessAndQuality,21,0.3,0.14285714285714285,0.1935483870967742
NeighborhoodAndBuiltEnvironment,1,0.0,0.0,0.0
MakeDecision,3,0.0,0.0,0.0
ApprovalofDecision/Reinforcement,1,0.0,0.0,0.0
EconomicStability,3,0.0,0.0,0.0
ExpressConcern/unease,2,0.0,0.0,0.0
Reassurance,1,0.0,0.0,0.0
Prognosis,0,0.0,0.0,0.0
PositiveRemarks,3,0.0,0.0,0.0
ShareOptions,2,0.0,0.0,0.0
build trust,1,0.0,0.0,0.0
inviteCollaboration,1,0.0,0.0,0.0
checkingUnderstanding/clarification,3,0.0,0.0,0.0
expressOpinions,6,0.0,0.0,0.0
